NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_2056853		Aeromonas sp. HMWF017	1
ncbi_2056869		Aeromonas sp. HMWF036	1
ncbi_2161680		Aeromonas sp. w55	1
ncbi_1339228		Aeromonas sp. ZOR0002	1
ncbi_1320552		Afipia sp. NBIMC_P1-C1	1
ncbi_1320553		Afipia sp. NBIMC_P1-C2	1
ncbi_1320554		Afipia sp. NBIMC_P1-C3	1
ncbi_1297863		Afipia sp. OHSU_I-C4	1
ncbi_1297864		Afipia sp. OHSU_I-C6	1
ncbi_1297862		Afipia sp. OHSU_I-uncloned	1
ncbi_1297860		Afipia sp. OHSU_II-C1	1
ncbi_1297861		Afipia sp. OHSU_II-C2	1
ncbi_1293051		Afipia sp. OHSU_II-uncloned	1
ncbi_1183410		Agrobacterium genomosp. 3 str. CFBP 6623	1
ncbi_1167635		Agrobacterium sp. 224MFTsu3.1	1
ncbi_1279030		Agrobacterium sp. 719_389	1
ncbi_82789		Agrobacterium sp. ATCC 31749	1
ncbi_439366		Agrobacterium sp. C13	1
ncbi_1336742		Agrobacterium sp. JL28	1
ncbi_477195		Agrobacterium sp. LY4	1
ncbi_1631629		Agrobacterium sp. NCPPB 925	1
ncbi_477196		Agrobacterium sp. TS43	1
ncbi_477197		Agrobacterium sp. TS45	1
ncbi_1131336		Akkermansia sp. KLE1605	1
ncbi_1574264		Akkermansia sp. KLE1797	1
ncbi_2021368		Alcaligenaceae bacterium	1
ncbi_1069631		Alcaligenes sp. HPC1271	1
ncbi_1435973		Alcanivorax sp. 97CO-5	1
ncbi_1435975		Alcanivorax sp. 97CO-6	1
ncbi_1848188		Alcanivorax sp. CP2C	1
ncbi_1822217		Alcanivorax sp. HI0003	1
ncbi_1822218		Alcanivorax sp. HI0007	1
ncbi_1822228		Alcanivorax sp. HI0033	1
ncbi_1822234		Alcanivorax sp. HI0044	1
ncbi_1822258		Alcanivorax sp. HI0083	1
ncbi_1840086		Aliivibrio sp. 1S165	1
ncbi_1840087		Aliivibrio sp. 1S175	1
ncbi_1501391		Alistipes inops	1
ncbi_2292190		Alistipes sp. AF17-16	1
ncbi_1816676		Alistipes sp. Marseille-P2431	1
ncbi_2484537		Altererythrobacter sp. FM1	1
ncbi_930129		Alteribacillus bidgolensis	2
ncbi_1537994		Alteromonas sp. LOR	1
ncbi_1538096		Alteromonas sp. LTR	1
ncbi_935260		Aminobacter sp. J15	1
ncbi_935261		Aminobacter sp. J41	1
ncbi_1896961		Amycolatopsis sp. AA4	1
ncbi_1644111		Amycolatopsis sp. CFH S0740	1
ncbi_2018303		Amycolatopsis sp. KNN50.9b	1
ncbi_1490052		Anoxybacillus sp. B2M1	1
ncbi_1490057		Anoxybacillus sp. B7M1	1
ncbi_73494		Apple dimple fruit viroid	1
ncbi_1737346		Apple hammerhead viroid-like circular RNA	1
ncbi_12895		Apple scar skin viroid	1
ncbi_1852029		Aquicoccus porphyridii	1
ncbi_2030986		Arenaviridae sp. 13ZR68	1
ncbi_1692243		Artemia melana sponge associated circular genome	1
ncbi_2058889		Arthrobacter sp. 9E18	1
ncbi_421054		Arthrobacter sp. D4	1
ncbi_1848594		Arthrobacter sp. MYb211	1
ncbi_1848597		Arthrobacter sp. MYb216	1
ncbi_1848598		Arthrobacter sp. MYb221	1
ncbi_1848602		Arthrobacter sp. MYb229	1
ncbi_1848603		Arthrobacter sp. MYb23	1
ncbi_1848604		Arthrobacter sp. MYb51	1
ncbi_129910		Arthrospira maxima CS-328	1
ncbi_1640536		Arthrospira sp. TJSD091	1
ncbi_2153484		Arthrospira sp. TJSD092	1
ncbi_1541975		Aulosira laxa NIES-50	1
