NCBItaxID	Species	Taxonomy
ncbi_2175630	Curtobacterium sp. MCLR17_051	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MCLR17_051
ncbi_2175631	Curtobacterium sp. MCLR17_053	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MCLR17_053
ncbi_2175634	Curtobacterium sp. MCLR17_057	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MCLR17_057
ncbi_2175636	Curtobacterium sp. MCLR17_059	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MCLR17_059
ncbi_2175662	Curtobacterium sp. MCPF17_015	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MCPF17_015
ncbi_1898741	Curtobacterium sp. MMLR14_002	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MMLR14_002
ncbi_1898742	Curtobacterium sp. MMLR14_006	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MMLR14_006
ncbi_1898744	Curtobacterium sp. MMLR14_014	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. MMLR14_014
ncbi_2485177	Curtobacterium sp. PhB128	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB128
ncbi_2485179	Curtobacterium sp. PhB131	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB131
ncbi_2485180	Curtobacterium sp. PhB134	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB134
ncbi_2485183	Curtobacterium sp. PhB138	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB138
ncbi_2485184	Curtobacterium sp. PhB141	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB141
ncbi_2485185	Curtobacterium sp. PhB142	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB142
ncbi_2485194	Curtobacterium sp. PhB170	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB170
ncbi_2485195	Curtobacterium sp. PhB171	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB171
ncbi_2485201	Curtobacterium sp. PhB190	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB190
ncbi_2485206	Curtobacterium sp. PhB42	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium|s__Curtobacterium sp. PhB42
ncbi_34068	Cycloclasticus pugetii	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae|g__Cycloclasticus|s__Cycloclasticus pugetii
ncbi_728003	Cycloclasticus sp. PY97N	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae|g__Cycloclasticus|s__Cycloclasticus sp. PY97N
ncbi_765699	Defluviimonas indica	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Defluviimonas|s__Defluviimonas indica
ncbi_1417296	Defluviimonas sp. 20V17	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Defluviimonas|s__Defluviimonas sp. 20V17
ncbi_2070364	Dehalobacter sp. 12DCB1	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Dehalobacter|s__Dehalobacter sp. 12DCB1
ncbi_1844756	Dehalobacter sp. MCB1	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Dehalobacter|s__Dehalobacter sp. MCB1
ncbi_1203568	Dermabacter sp. HFH0086	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter|s__Dermabacter sp. HFH0086
ncbi_457398	Desulfovibrio sp. 3_1_syn3	root|_d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp. 3_1_syn3
ncbi_2491045	Desulfovibrio sp. OH1186_COT-070	root|_d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp. OH1186_COT-070
ncbi_2491046	Desulfovibrio sp. OH1209_COT-279	root|_d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp. OH1209_COT-279
ncbi_2049043	Desulfovibrionaceae bacterium	root|_d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__|s__Desulfovibrionaceae bacterium
ncbi_2079253	Devosia indica	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Devosia|s__Devosia indica
ncbi_2083786	Devosia sp. I507	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Devosia|s__Devosia sp. I507
ncbi_1224145	Dickeya sp. MK7	root|_d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya sp. MK7
ncbi_1836468	Donghicola sp. JL3646	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Donghicola|s__Donghicola sp. JL3646
ncbi_2292041	Dorea sp. AF36-15AT	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea sp. AF36-15AT
ncbi_1871181	Duganella sp. BJB480	root|_d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella sp. BJB480
ncbi_1871350	Duganella sp. BJB488	root|_d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella sp. BJB488
ncbi_1871351	Duganella sp. BJB489	root|_d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella sp. BJB489
ncbi_2512166	Duganella sp. BK701	root|_d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Duganella|s__Duganella sp. BK701
