	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Viruses					|o__	Caudovirales	|f__	Herelleviridae			|s__	Brochothrix virus A9	d__Viruses|o__Caudovirales|f__Herelleviridae|s__Brochothrix virus A9	Brochothrix virus A9
d__	Viruses					|o__	Ortervirales	|f__	Retroviridae	|g__	Prosimiispumavirus	|s__	Brown greater galago prosimian foamy virus	d__Viruses|o__Ortervirales|f__Retroviridae|g__Prosimiispumavirus|s__Brown greater galago prosimian foamy virus	Brown greater galago prosimian foamy virus
d__	Viruses					|o__	Herpesvirales					|s__	Bufonid herpesvirus 1	d__Viruses|o__Herpesvirales|s__Bufonid herpesvirus 1	Bufonid herpesvirus 1
d__	Viruses							|f__	Benyviridae	|g__	Benyvirus	|s__	Burdock mottle virus	d__Viruses|f__Benyviridae|g__Benyvirus|s__Burdock mottle virus	Burdock mottle virus
d__	Bacteria	|p__	Proteobacteria	|c__	Betaproteobacteria	|o__	Burkholderiales	|f__	Burkholderiaceae	|g__	Burkholderia			d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	Burkholderia
d__	Bacteria	|p__	Proteobacteria	|c__	Betaproteobacteria	|o__	Burkholderiales							d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	Burkholderiales
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Buzura suppressaria nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Buzura suppressaria nucleopolyhedrovirus	Buzura suppressaria nucleopolyhedrovirus
d__	Viruses					|o__	Ortervirales	|f__	Caulimoviridae	|g__	Badnavirus	|s__	Cacao swollen shoot Togo A virus	d__Viruses|o__Ortervirales|f__Caulimoviridae|g__Badnavirus|s__Cacao swollen shoot Togo A virus	Cacao swollen shoot Togo A virus
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Peribunyaviridae	|g__	Orthobunyavirus	|s__	Cachoeira Porteira orthobunyavirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Cachoeira Porteira orthobunyavirus	Cachoeira Porteira orthobunyavirus
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Peribunyaviridae	|g__	Orthobunyavirus	|s__	Cachoeira Porteira orthobunyavirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Cachoeira Porteira orthobunyavirus	Cachoeira Porteira orthobunyavirus
d__	Viruses							|f__	Mimiviridae	|g__	Cafeteriavirus	|s__	Cafeteria roenbergensis virus	d__Viruses|f__Mimiviridae|g__Cafeteriavirus|s__Cafeteria roenbergensis virus	Cafeteria roenbergensis virus
d__	Viruses							|f__	Mimiviridae	|g__	Cafeteriavirus	|s__	Cafeteria roenbergensis virus	d__Viruses|f__Mimiviridae|g__Cafeteriavirus|s__Cafeteria roenbergensis virus	Cafeteria roenbergensis virus
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Lymphocryptovirus	|s__	Callitrichine gammaherpesvirus 3	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Lymphocryptovirus|s__Callitrichine gammaherpesvirus 3	Callitrichine gammaherpesvirus 3
d__	Bacteria	|p__	Cyanobacteria			|o__	Nostocales	|f__	Calotrichaceae	|g__	Calothrix	|s__	Calothrix parietina	d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae|g__Calothrix|s__Calothrix parietina	Calothrix parietina
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria							|s__	Calyptogena okutanii thioautotrophic gill symbiont	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Calyptogena okutanii thioautotrophic gill symbiont	Calyptogena okutanii thioautotrophic gill symbiont
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria							|s__	Calyptogena okutanii thioautotrophic gill symbiont	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Calyptogena okutanii thioautotrophic gill symbiont	Calyptogena okutanii thioautotrophic gill symbiont
d__	Viruses							|f__	Smacoviridae	|g__	Porprismacovirus	|s__	Camel associated porprismacovirus 3	d__Viruses|f__Smacoviridae|g__Porprismacovirus|s__Camel associated porprismacovirus 3	Camel associated porprismacovirus 3
d__	Viruses							|f__	Polydnaviridae	|g__	Ichnovirus	|s__	Campoletis sonorensis ichnovirus	d__Viruses|f__Polydnaviridae|g__Ichnovirus|s__Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus
d__	Viruses							|f__	Totiviridae			|s__	Camponotus nipponicus virus	d__Viruses|f__Totiviridae|s__Camponotus nipponicus virus	Camponotus nipponicus virus
d__	Bacteria	|p__	Proteobacteria	|c__	Epsilonproteobacteria	|o__	Campylobacterales	|f__	Campylobacteraceae	|g__	Campylobacter	|s__	Campylobacter sp. RM12175	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter sp. RM12175	Campylobacter sp. RM12175
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Fletchervirus	|s__	Campylobacter virus CP30A	d__Viruses|o__Caudovirales|f__Myoviridae|g__Fletchervirus|s__Campylobacter virus CP30A	Campylobacter virus CP30A
d__	Bacteria	|p__	Proteobacteria	|c__	Epsilonproteobacteria	|o__	Campylobacterales	|f__	Campylobacteraceae					d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	Campylobacteraceae
d__	Bacteria	|p__	Proteobacteria	|c__	Epsilonproteobacteria	|o__	Campylobacterales	|f__	Campylobacteraceae					d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	Campylobacteraceae
d__	Bacteria	|p__	candidate division NC10											d__Bacteria|p__candidate division NC10	candidate division NC10
d__	Bacteria	|p__	Candidatus Atribacteria											d__Bacteria|p__Candidatus Atribacteria	Candidatus Atribacteria
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Enterobacterales	|f__	Enterobacteriaceae	|g__	Candidatus Blochmannia			d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Candidatus Blochmannia	Candidatus Blochmannia
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Frankiales	|f__	Frankiaceae	|g__	Frankia	|s__	Candidatus Frankia datiscae	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Frankia|s__Candidatus Frankia datiscae	Candidatus Frankia datiscae
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Frankiales	|f__	Frankiaceae	|g__	Frankia	|s__	Candidatus Frankia meridionalis	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Frankia|s__Candidatus Frankia meridionalis	Candidatus Frankia meridionalis
d__	Bacteria	|p__	Candidatus Melainabacteria			|o__	Candidatus Gastranaerophilales							d__Bacteria|p__Candidatus Melainabacteria|o__Candidatus Gastranaerophilales	Candidatus Gastranaerophilales
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria					|g__	Candidatus Nardonella	|s__	Candidatus Nardonella dryophthoridicola	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus Nardonella|s__Candidatus Nardonella dryophthoridicola	Candidatus Nardonella dryophthoridicola
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma			d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma	Candidatus Phytoplasma
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma			d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma	Candidatus Phytoplasma
d__	Bacteria	|p__	Candidatus Saccharibacteria											d__Bacteria|p__Candidatus Saccharibacteria	Candidatus Saccharibacteria
d__	Bacteria	|p__	Planctomycetes	|c__	Candidatus Brocadiae	|o__	Candidatus Brocadiales	|f__	Candidatus Brocadiaceae	|g__	Candidatus Scalindua	|s__	Candidatus Scalindua japonica	d__Bacteria|p__Planctomycetes|c__Candidatus Brocadiae|o__Candidatus Brocadiales|f__Candidatus Brocadiaceae|g__Candidatus Scalindua|s__Candidatus Scalindua japonica	Candidatus Scalindua japonica
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Varicellovirus	|s__	Canid alphaherpesvirus 1	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Canid alphaherpesvirus 1	Canid alphaherpesvirus 1
d__	Viruses							|f__	Adenoviridae	|g__	Mastadenovirus	|s__	Canine mastadenovirus A	d__Viruses|f__Adenoviridae|g__Mastadenovirus|s__Canine mastadenovirus A	Canine mastadenovirus A
d__	Viruses							|f__	Adenoviridae	|g__	Mastadenovirus	|s__	Canine mastadenovirus A	d__Viruses|f__Adenoviridae|g__Mastadenovirus|s__Canine mastadenovirus A	Canine mastadenovirus A
d__	Bacteria	|p__	Bacteroidetes	|c__	Cytophagia	|o__	Cytophagales	|f__	Amoebophilaceae	|g__	Candidatus Cardinium	|s__	Cardinium endosymbiont of Bemisia tabaci	d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus Cardinium|s__Cardinium endosymbiont of Bemisia tabaci	Cardinium endosymbiont of Bemisia tabaci
d__	Bacteria	|p__	Bacteroidetes	|c__	Cytophagia	|o__	Cytophagales	|f__	Amoebophilaceae	|g__	Candidatus Cardinium	|s__	Cardinium endosymbiont of Culicoides punctatus	d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus Cardinium|s__Cardinium endosymbiont of Culicoides punctatus	Cardinium endosymbiont of Culicoides punctatus
d__	Bacteria	|p__	Bacteroidetes	|c__	Cytophagia	|o__	Cytophagales	|f__	Amoebophilaceae	|g__	Candidatus Cardinium	|s__	Cardinium endosymbiont of Encarsia pergandiella	d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus Cardinium|s__Cardinium endosymbiont of Encarsia pergandiella	Cardinium endosymbiont of Encarsia pergandiella
d__	Bacteria	|p__	Bacteroidetes	|c__	Cytophagia	|o__	Cytophagales	|f__	Amoebophilaceae	|g__	Candidatus Cardinium	|s__	Cardinium endosymbiont of Encarsia pergandiella	d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus Cardinium|s__Cardinium endosymbiont of Encarsia pergandiella	Cardinium endosymbiont of Encarsia pergandiella
d__	Bacteria	|p__	Bacteroidetes	|c__	Cytophagia	|o__	Cytophagales	|f__	Amoebophilaceae	|g__	Candidatus Cardinium	|s__	Cardinium endosymbiont of Sogatella furcifera	d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae|g__Candidatus Cardinium|s__Cardinium endosymbiont of Sogatella furcifera	Cardinium endosymbiont of Sogatella furcifera
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Catopsilia pomona nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Catopsilia pomona nucleopolyhedrovirus	Catopsilia pomona nucleopolyhedrovirus
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Peribunyaviridae	|g__	Orthobunyavirus	|s__	Catu orthobunyavirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Catu orthobunyavirus	Catu orthobunyavirus
d__	Viruses					|o__	Tymovirales	|f__	Betaflexiviridae	|g__	Prunevirus	|s__	Caucasus prunus virus	d__Viruses|o__Tymovirales|f__Betaflexiviridae|g__Prunevirus|s__Caucasus prunus virus	Caucasus prunus virus
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae			|s__	Caviid betaherpesvirus 2	d__Viruses|o__Herpesvirales|f__Herpesviridae|s__Caviid betaherpesvirus 2	Caviid betaherpesvirus 2
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Cbastvirus	|s__	Cellulophaga virus ST	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Cbastvirus|s__Cellulophaga virus ST	Cellulophaga virus ST
d__	Viruses					|o__	Picornavirales	|f__	Dicistroviridae			|s__	Centovirus	d__Viruses|o__Picornavirales|f__Dicistroviridae|s__Centovirus	Centovirus
d__	Viruses							|f__	Endornaviridae			|s__	Ceratobasidium endornavirus A	d__Viruses|f__Endornaviridae|s__Ceratobasidium endornavirus A	Ceratobasidium endornavirus A
d__	Viruses							|f__	Endornaviridae			|s__	Ceratobasidium endornavirus C	d__Viruses|f__Endornaviridae|s__Ceratobasidium endornavirus C	Ceratobasidium endornavirus C
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Simplexvirus	|s__	Cercopithecine alphaherpesvirus 2	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Simplexvirus|s__Cercopithecine alphaherpesvirus 2	Cercopithecine alphaherpesvirus 2
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Varicellovirus	|s__	Cercopithecine alphaherpesvirus 9	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Cercopithecine alphaherpesvirus 9	Cercopithecine alphaherpesvirus 9
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Cytomegalovirus	|s__	Cercopithecine betaherpesvirus 5	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Cercopithecine betaherpesvirus 5	Cercopithecine betaherpesvirus 5
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Cytomegalovirus	|s__	Cercopithecine betaherpesvirus 5	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Cercopithecine betaherpesvirus 5	Cercopithecine betaherpesvirus 5
d__	Viruses							|f__	Luteoviridae	|g__	Polerovirus	|s__	Cereal yellow dwarf virus RPV	d__Viruses|f__Luteoviridae|g__Polerovirus|s__Cereal yellow dwarf virus RPV	Cereal yellow dwarf virus RPV
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae	|g__	Sripuvirus	|s__	Chaco sripuvirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Sripuvirus|s__Chaco sripuvirus	Chaco sripuvirus
d__	Viruses					|o__	Picornavirales	|f__	Marnaviridae	|g__	Bacillarnavirus	|s__	Chaetoceros tenuissimus RNA virus 01	d__Viruses|o__Picornavirales|f__Marnaviridae|g__Bacillarnavirus|s__Chaetoceros tenuissimus RNA virus 01	Chaetoceros tenuissimus RNA virus 01
d__	Viruses							|f__	Totiviridae	|g__	Victorivirus	|s__	Chalara elegans RNA Virus 1	d__Viruses|f__Totiviridae|g__Victorivirus|s__Chalara elegans RNA Virus 1	Chalara elegans RNA Virus 1
d__	Viruses											|s__	Changping Tick Virus 2	d__Viruses|s__Changping Tick Virus 2	Changping Tick Virus 2
d__	Viruses							|f__	Polydnaviridae	|g__	Bracovirus	|s__	Chelonus inanitus bracovirus	d__Viruses|f__Polydnaviridae|g__Bracovirus|s__Chelonus inanitus bracovirus	Chelonus inanitus bracovirus
d__	Viruses							|f__	Iridoviridae			|s__	Cherax quadricarinatus iridovirus	d__Viruses|f__Iridoviridae|s__Cherax quadricarinatus iridovirus	Cherax quadricarinatus iridovirus
d__	Viruses					|o__	Tymovirales	|f__	Betaflexiviridae	|g__	Trichovirus	|s__	Cherry mottle leaf virus	d__Viruses|o__Tymovirales|f__Betaflexiviridae|g__Trichovirus|s__Cherry mottle leaf virus	Cherry mottle leaf virus
d__	Viruses							|f__	Potyviridae	|g__	Potyvirus	|s__	Chilli veinal mottle virus	d__Viruses|f__Potyviridae|g__Potyvirus|s__Chilli veinal mottle virus	Chilli veinal mottle virus
d__	Viruses							|f__	Smacoviridae	|g__	Porprismacovirus	|s__	Chimpanzee associated porprismacovirus 2	d__Viruses|f__Smacoviridae|g__Porprismacovirus|s__Chimpanzee associated porprismacovirus 2	Chimpanzee associated porprismacovirus 2
d__	Viruses							|f__	Parvoviridae	|g__	Bocaparvovirus	|s__	Chiropteran bocaparvovirus 3	d__Viruses|f__Parvoviridae|g__Bocaparvovirus|s__Chiropteran bocaparvovirus 3	Chiropteran bocaparvovirus 3
d__	Viruses							|f__	Parvoviridae	|g__	Bocaparvovirus	|s__	Chiropteran bocaparvovirus 3	d__Viruses|f__Parvoviridae|g__Bocaparvovirus|s__Chiropteran bocaparvovirus 3	Chiropteran bocaparvovirus 3
d__	Viruses							|f__	Parvoviridae	|g__	Protoparvovirus	|s__	Chiropteran protoparvovirus 1	d__Viruses|f__Parvoviridae|g__Protoparvovirus|s__Chiropteran protoparvovirus 1	Chiropteran protoparvovirus 1
d__	Viruses							|f__	Parvoviridae	|g__	Protoparvovirus	|s__	Chiropteran protoparvovirus 1	d__Viruses|f__Parvoviridae|g__Protoparvovirus|s__Chiropteran protoparvovirus 1	Chiropteran protoparvovirus 1
d__	Bacteria	|p__	Bacteroidetes	|c__	Chitinophagia	|o__	Chitinophagales	|f__	Chitinophagaceae	|g__	Chitinophaga	|s__	Chitinophaga terrae Kim and Jung 2007	d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|s__Chitinophaga terrae Kim and Jung 2007	Chitinophaga terrae Kim and Jung 2007
d__	Bacteria	|p__	Chlamydiae	|c__	Chlamydiia	|o__	Chlamydiales	|f__	Chlamydiaceae					d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae	Chlamydiaceae
d__	Bacteria	|p__	Chlorobi	|c__	Chlorobia	|o__	Chlorobiales	|f__	Chlorobiaceae					d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae	Chlorobiaceae
d__	Viruses							|f__	Polyomaviridae	|g__	Alphapolyomavirus	|s__	Chlorocebus pygerythrus polyomavirus 3	d__Viruses|f__Polyomaviridae|g__Alphapolyomavirus|s__Chlorocebus pygerythrus polyomavirus 3	Chlorocebus pygerythrus polyomavirus 3
d__	Bacteria	|p__	Chloroflexi	|c__	Chloroflexia	|o__	Chloroflexales							d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	Chloroflexales
d__	Bacteria	|p__	Chloroflexi	|c__	Chloroflexia	|o__	Chloroflexales							d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	Chloroflexales
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Hantaviridae	|g__	Orthohantavirus	|s__	Choclo orthohantavirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Hantaviridae|g__Orthohantavirus|s__Choclo orthohantavirus	Choclo orthohantavirus
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Choristoneura biennis entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Choristoneura biennis entomopoxvirus	Choristoneura biennis entomopoxvirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Choristoneura fumiferana multiple nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Choristoneura fumiferana multiple nucleopolyhedrovirus	Choristoneura fumiferana multiple nucleopolyhedrovirus
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Choristoneura rosaceana entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Choristoneura rosaceana entomopoxvirus	Choristoneura rosaceana entomopoxvirus
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Choristoneura rosaceana entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Choristoneura rosaceana entomopoxvirus	Choristoneura rosaceana entomopoxvirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Choristoneura rosaceana nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Choristoneura rosaceana nucleopolyhedrovirus	Choristoneura rosaceana nucleopolyhedrovirus
d__	Bacteria	|p__	Proteobacteria	|c__	Betaproteobacteria	|o__	Neisseriales	|f__	Chromobacteriaceae					d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	Chromobacteriaceae
d__	Bacteria	|p__	Cyanobacteria			|o__	Chroococcales					|s__	Chroococcales cyanobacterium IPPAS B-1203	d__Bacteria|p__Cyanobacteria|o__Chroococcales|s__Chroococcales cyanobacterium IPPAS B-1203	Chroococcales cyanobacterium IPPAS B-1203
d__	Bacteria	|p__	Tenericutes	|c__	Mollicutes	|o__	Acholeplasmatales	|f__	Acholeplasmataceae	|g__	Candidatus Phytoplasma	|s__	Chrysanthemum yellows phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma|s__Chrysanthemum yellows phytoplasma	Chrysanthemum yellows phytoplasma
d__	Bacteria	|p__	Bacteroidetes	|c__	Flavobacteriia	|o__	Flavobacteriales	|f__	Flavobacteriaceae	|g__	Chryseobacterium	|s__	Chryseobacterium sp. IHB B 17019	d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium|s__Chryseobacterium sp. IHB B 17019	Chryseobacterium sp. IHB B 17019
d__	Viruses							|f__	Phycodnaviridae			|s__	Chrysochromulina ericina virus	d__Viruses|f__Phycodnaviridae|s__Chrysochromulina ericina virus	Chrysochromulina ericina virus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Chrysodeixis includens nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Chrysodeixis includens nucleopolyhedrovirus	Chrysodeixis includens nucleopolyhedrovirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Chrysodeixis includens nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Chrysodeixis includens nucleopolyhedrovirus	Chrysodeixis includens nucleopolyhedrovirus
d__	Viruses							|f__	Circoviridae			|s__	Circovirus-like genome DCCV-13	d__Viruses|f__Circoviridae|s__Circovirus-like genome DCCV-13	Circovirus-like genome DCCV-13
d__	Viruses							|f__	Circoviridae			|s__	Circovirus-like genome DHCV-6	d__Viruses|f__Circoviridae|s__Circovirus-like genome DHCV-6	Circovirus-like genome DHCV-6
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Moonvirus	|s__	Citrobacter virus CF1	d__Viruses|o__Caudovirales|f__Myoviridae|g__Moonvirus|s__Citrobacter virus CF1	Citrobacter virus CF1
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Moonvirus	|s__	Citrobacter virus Moon	d__Viruses|o__Caudovirales|f__Myoviridae|g__Moonvirus|s__Citrobacter virus Moon	Citrobacter virus Moon
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Clanis bilineata nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Clanis bilineata nucleopolyhedrovirus	Clanis bilineata nucleopolyhedrovirus
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Cimpunavirus	|s__	Clavibacter virus CMP1	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Cimpunavirus|s__Clavibacter virus CMP1	Clavibacter virus CMP1
d__	Eukaryota	|p__	Ascomycota	|c__	Saccharomycetes	|o__	Saccharomycetales	|f__	Metschnikowiaceae	|g__	Clavispora			d__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae|g__Clavispora	Clavispora
d__	Viruses							|f__	Tombusviridae	|g__	Pelarspovirus	|s__	Clematis chlorotic mottle virus	d__Viruses|f__Tombusviridae|g__Pelarspovirus|s__Clematis chlorotic mottle virus	Clematis chlorotic mottle virus
d__	Viruses							|f__	Baculoviridae	|g__	Betabaculovirus	|s__	Clostera anastomosis granulovirus A	d__Viruses|f__Baculoviridae|g__Betabaculovirus|s__Clostera anastomosis granulovirus A	Clostera anastomosis granulovirus A
d__	Viruses							|f__	Baculoviridae	|g__	Betabaculovirus	|s__	Clostera anastomosis granulovirus A	d__Viruses|f__Baculoviridae|g__Betabaculovirus|s__Clostera anastomosis granulovirus A	Clostera anastomosis granulovirus A
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales							d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	Clostridiales
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XII. Incertae Sedis					d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XII. Incertae Sedis	Clostridiales Family XII. Incertae Sedis
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis					d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis	Clostridiales Family XIII. Incertae Sedis
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XIII. Incertae Sedis					d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis	Clostridiales Family XIII. Incertae Sedis
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XVI. Incertae Sedis					d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XVI. Incertae Sedis	Clostridiales Family XVI. Incertae Sedis
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiales Family XVII. Incertae Sedis					d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XVII. Incertae Sedis	Clostridiales Family XVII. Incertae Sedis
d__	Bacteria	|p__	Firmicutes	|c__	Clostridia	|o__	Clostridiales	|f__	Clostridiaceae	|g__	Clostridium	|s__	Clostridium sp. IBUN22A	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. IBUN22A	Clostridium sp. IBUN22A
d__	Viruses							|f__	Iridoviridae	|g__	Ranavirus	|s__	Cod iridovirus	d__Viruses|f__Iridoviridae|g__Ranavirus|s__Cod iridovirus	Cod iridovirus
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Mardivirus	|s__	Columbid alphaherpesvirus 1	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Mardivirus|s__Columbid alphaherpesvirus 1	Columbid alphaherpesvirus 1
