	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Busanvirus	|s__	Acidovorax virus ACP17	d__Viruses|o__Caudovirales|f__Myoviridae|g__Busanvirus|s__Acidovorax virus ACP17	Acidovorax virus ACP17
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Pseudomonadales	|f__	Moraxellaceae	|g__	Acinetobacter			d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	Acinetobacter
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Pseudomonadales	|f__	Moraxellaceae	|g__	Acinetobacter	|s__	Acinetobacter nosocomialis	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter nosocomialis	Acinetobacter nosocomialis
d__	Viruses					|o__	Caudovirales	|f__	Siphoviridae	|g__	Lokivirus	|s__	Acinetobacter virus Loki	d__Viruses|o__Caudovirales|f__Siphoviridae|g__Lokivirus|s__Acinetobacter virus Loki	Acinetobacter virus Loki
d__	Viruses					|o__	Caudovirales	|f__	Myoviridae	|g__	Metrivirus	|s__	Acinetobacter virus ME3	d__Viruses|o__Caudovirales|f__Myoviridae|g__Metrivirus|s__Acinetobacter virus ME3	Acinetobacter virus ME3
d__	Viruses					|o__	Herpesvirales	|f__	Alloherpesviridae	|g__	Ictalurivirus	|s__	Acipenserid herpesvirus 2	d__Viruses|o__Herpesvirales|f__Alloherpesviridae|g__Ictalurivirus|s__Acipenserid herpesvirus 2	Acipenserid herpesvirus 2
d__	Viruses					|o__	Caudovirales	|f__	Ackermannviridae					d__Viruses|o__Caudovirales|f__Ackermannviridae	Ackermannviridae
d__	Viruses					|o__	Caudovirales	|f__	Ackermannviridae					d__Viruses|o__Caudovirales|f__Ackermannviridae	Ackermannviridae
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria									d__Bacteria|p__Actinobacteria|c__Actinobacteria	Actinobacteria
d__	Bacteria	|p__	Actinobacteria	|c__	Actinobacteria	|o__	Actinomycetales	|f__	Actinomycetaceae	|g__	Actinomyces	|s__	Actinomyces sp. oral taxon 448	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 448
