featureid	Intercept	C(Market_economy, Treatment('Farming'))[T.Forrest camp]	C(Market_economy, Treatment('Farming'))[T.Industrial]	C(Market_economy, Treatment('Farming'))[T.Logging road]
Bacteroides	1.875749914895131	-0.525643175031659	0.40640820294053004	-0.7073076451315137
Porphyromonas	2.2854026248560686	0.5266163893680602	0.5218016254845326	-0.2819535816206189
Alloprevotella	0.3441245248423357	0.021694118593218903	0.35800151630670474	0.6889533316598682
Paraprevotella	-3.994339139212536	-1.4350532344837168	1.5459585311952293	-0.6254927450908871
Prevotella	3.6787426164255876	0.25080400190162866	-0.4264284846243198	0.17381041402681152
Tannerella	3.1432302882776995	0.42543142518806754	-0.030319350665503286	0.07319491262300293
Phocaeicola	0.44702646041972827	0.28431665382194815	2.225776684576577	-0.0060284817709179706
Capnocytophaga	3.5708017041788835	-0.009999697591778656	1.1207937124314968	-0.10065657739774903
Riemerella	-4.629006058920788	-4.768522565748212	2.8522685888353054	-5.323651620198653
Candidatus Kryptonium	-0.6200558254613142	-0.11332536258887949	-2.8523515340742405	0.07303165550096313
Fusobacterium	2.722713558922841	-0.12129039087485971	0.45707364856631205	-0.10606230144636353
Leptotrichia	4.04010996128185	0.2412523575763732	-1.2444009658750828	0.11867540235383789
Lautropia	3.099756686936452	-0.508248280297634	1.039531719976968	-0.05978185777799805
Ottowia	1.978452621947362	0.5178111144046813	1.9699583175721824	0.04118572826249878
Eikenella	1.2472141077624102	-0.20327643075179758	1.7238484743180935	0.05816578025682251
Kingella	0.8001002957926531	-0.5361714945469469	1.6435452821794216	0.27689116353853027
Morococcus	0.34516855980022143	-0.8628832153339356	0.8348747911992733	-0.43684131746427735
Neisseria	3.4696117332087297	-0.382158284570691	1.294217360312051	-0.03922743444578369
Propionivibrio	-3.991879613150524	0.821481401536944	-7.1694198724684055	-0.36376208906309326
Desulfobulbus	0.39374884868724536	0.11883937797355948	2.1943366649690335	-0.7821223000182362
Desulfomicrobium	0.19995757843120288	-1.5825583390254945	1.5877565267625515	-2.0552818263067456
