Species	CMC001.A0101	CMC001.A0201	CMC001.B0201	CMC002.A0201	CMC002.B0201	CMC003.A0201	CMC003.B0101	CMC004.A0101	CMC004.B0201	CMC005.A0202	CMC005.B0101	CMC006.A0101	CMC006.B0201	CMC007.B0101	CMC008.A0101	CMC008.B0201	CMC009.A0202	CMC009.B0101	CMC010.A0101	CMC010.B0201	CMC011.A0201	CMC011.B0101	CMC012.A0201	CMC012.B0201	CMC013.A0201	CMC013.B0101	CMC014.A0101	CMC015.A0201	CMC015.B0201	CMC016.A0101	CMC016.A0102	CMC017.A0201	CMC017.B0201	CMC018.A0101	CMC018.B0101	CMC020.A0101	CMC020.B0101	CMC021.A0201	CMC021.B0201	CMC022.A0101	CMC022.B0101	CMC023.A0301	CMC024.A0101	CMC024.B0101	CMC025.A0201	CMC026.A0101	CMC026.B0101	CMC027.A0201	CMC027.B0201	CMC028.A0101	CMC028.B0101	CMC029.A0201	CMC029.B0201	CMC030.A0101	CMC030.B0101	CMC031.A0201	CMC031.B0201	CMC032.A0101	CMC032.B0101	CMC033.A0201	CMC033.B0201	CMC034.A0101	CMC034.B0101	CMC035.A0201	CMC035.B0201	CMC036.A0101	CMC036.B0101	CMC037.A0201	CMC037.B0201	CMC038.A0101	CMC038.B0101	CMC039.B0201	CMC040.B0101	CMC041.A0201	CMC042.A0201	CMC042.B0101	CMC043.A0101	CMC043.B0101	CMC044.A0201	CMC045.A0201	CMC045.B0201	CMC046.B0201	CMC047.A0201	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	SRR061192	SRR061294	SRR061320	SRR061365	SRR061562	SRR062083	SRR062298	SRR062299	SRR063517	SRR512767	SRR513165	SRR513768	SRR513775	SRR513828	SRR514202	SRR514239	SRR514306	SRR514329	SRR1804664	SRR1804823
Fusobacterium massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0	0	0	0
Fusobacterium mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium naviforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4860	17533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium necrophorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	270	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium nucleatum	6491	7779	47569	9387	810	9185	5232	7163	57064	67018	3961	12934	17852	97361	36277	41713	11940	23006	16199	27873	26359	43168	25962	20598	22817	2063	3414	7983	8358	20563	51117	34247	27529	52407	18283	21425	29315	22566	22551	22417	21662	40851	17502	7667	26145	28056	10962	13857	30002	20687	23278	13348	40432	14807	34443	25787	12385	62287	0	17718	36037	29905	19532	38973	14439	57949	16558	16645	471	17522	16787	55020	54241	90320	13362	64171	5495	4751	25851	8499	41571	69797	3236	28644	714002	270234	113251	175859	355898	87956	59654	11734	292123	813015	379403	276829	3245	580670	137848	500411	353195	47742	111287	420673	315518	379909	274183	332410	673641	659602	284920	70780	42724
Fusobacterium periodonticum	1522	1868	3725	257	0	4835	12484	2630	13619	4416	656	7632	1945	3085	2256	9341	2230	11828	1748	4349	6715	14400	3794	3455	2854	548	0	752	1591	5014	12597	7882	6790	7120	12515	4671	4613	2932	3663	5062	15854	8838	2026	2451	1116	4762	606	1538	6639	5606	5493	2064	4331	3438	1690	527	429	487	0	8562	3581	9032	2775	6817	1085	4036	3453	1163	0	9010	34165	18369	30463	6145	3468	547	347	304	4626	2150	16567	4339	1059	0	57049	21972	5490	0	18333	10914	15497	4325	0	58912	4154	11734	0	135533	14226	76567	8784	5714	6874	7449	3719	22877	19904	1166	15004	9077	154318	7444	2988
Fusobacterium russii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium varium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium sp. HMSC064B11	246	306	2435	0	0	422	0	320	1831	3947	0	664	913	2221	1681	2588	620	665	590	1488	875	2300	1253	620	1243	0	0	358	0	665	2097	1436	1189	893	591	1041	1110	643	644	1204	714	1473	858	283	314	1071	627	180	1370	1017	809	334	2140	326	1994	737	385	0	0	909	1065	1506	555	1646	565	1525	711	729	0	560	439	3071	2040	4473	928	1068	0	0	805	340	1398	1129	0	0	27230	0	0	0	13327	0	0	0	0	25122	3308	10720	0	20176	5876	9251	1703	0	0	3985	4257	3490	8743	0	4745	6426	5219	0	0
Fusobacterium sp. HMSC064B12	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	781	0	0	0	0	0	0	0	278	0	0	290	0	0	163	0	0	0	0	0	0	0	398	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	1207	0	0	0	0	0	569	0	0	8410	0	0	0	0	0	0	0	0	0	6723	0	0	0	0	5860	7815	0	0	5187	6619	7495	0	2712	18206	17360	0	0	0
Fusobacterium sp. HMSC065F01	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	0	0	0	0	1124	1400	0	0	0	0	0	0	2130	1758	0	0	0	0
Fusobacterium sp. oral taxon 203	0	0	663	367	0	0	0	0	993	797	0	0	0	4302	0	341	0	468	0	0	492	686	0	465	0	0	0	0	0	0	1034	601	403	1180	451	365	437	828	0	0	519	893	0	0	692	629	0	601	410	334	392	345	418	409	381	334	0	711	0	0	0	496	0	553	0	466	0	372	0	573	597	413	831	1430	325	1326	0	0	590	660	1316	1956	0	0	20344	0	12501	0	0	0	0	0	0	4988	3244	25670	0	0	0	3666	4771	0	0	4572	2981	47206	0	0	7893	6677	0	0	0
Fusobacterium sp. oral taxon 370	1056	1115	293	0	0	277	451	0	2434	447	0	388	0	421	0	440	0	983	536	311	876	910	859	300	1151	0	0	0	0	1282	2048	700	749	4684	834	566	589	2087	421	0	776	1627	0	0	455	617	0	1182	3280	423	863	457	0	1296	282	0	0	0	0	368	0	998	383	397	0	367	0	350	0	778	2303	610	6237	1006	659	0	0	0	364	714	3960	793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3181	0	2039	616	0	0	1764	0	0	0	0	1933	0	0	0	0
Leptotrichia buccalis	1163	1695	105857	574	0	3735	662	4409	125971	88050	7217	2160	68077	35044	42161	29864	29958	130137	10604	37635	75668	77596	51993	20195	48153	7609	338	38324	8748	56826	39272	38687	131405	34520	16340	2942	45054	101568	72503	25225	8647	98951	15941	9167	31092	59300	14713	6880	140520	30198	140780	15973	34227	2724	166335	0	35884	1121	0	16149	65500	3304	17147	3776	4618	57711	19209	7180	567	24449	28760	105991	25079	253531	4695	4898	14418	12596	26458	2798	67145	64194	2103	0	0	22779	23932	0	17636	0	29491	0	89007	5374	9776	11998	0	88440	0	30737	7307	0	31902	32554	0	2583	0	0	34177	71719	7598	19535	0
Leptotrichia goodfellowii	2693	4773	0	0	0	0	0	1266	717	356	0	0	876	0	0	0	0	0	0	0	273	0	311	410	0	0	0	1469	859	0	2609	1476	0	0	0	1110	0	602	0	559	0	1111	0	0	0	0	0	1884	407	1785	0	1307	0	348	0	38761	0	1548	0	0	0	311	0	0	0	0	0	2568	0	200	404	0	898	1500	0	45145	0	0	438	4795	337	2275	0	24232	19291	60079	8620	13240	0	0	4961	0	9546	0	38037	7808	0	0	19499	0	12079	3315	39604	1809	17629	39153	17572	0	56089	141008	5628	2844	1878
Leptotrichia hofstadii	1343	1803	24436	271	413	3040	1136	4008	32268	25822	34933	2435	16182	27851	36133	17978	7716	24835	5724	33422	18381	29695	23291	12363	33124	35481	496	6955	20433	30445	24496	18479	28409	9280	5937	2295	18609	19696	23953	16329	1660	22687	35908	5392	4898	25218	23263	2049	30232	30135	25965	3977	39899	3711	33776	0	30182	5800	0	19646	24477	7119	28291	2937	2781	28875	15499	4887	1767	4991	5497	113208	12670	40224	3046	4536	8672	7474	16463	2287	23908	38886	15928	0	7378	10086	11681	0	108371	13829	11896	0	22133	118017	82775	14467	0	28133	8240	25750	1549	3662	54694	22205	0	10764	12732	0	78084	43046	15353	7966	5328
Leptotrichia shahii	0	311	12587	566	0	267	0	461	16069	27492	24271	0	5393	14722	37991	1883	29132	8265	1084	21186	9257	63152	35395	6818	42370	22222	1736	3744	44229	13369	8108	2519	12250	4965	1352	356	16314	14074	44494	1846	469	25861	5776	2809	2320	23743	6557	613	6461	6649	9779	849	10602	311	30263	0	4323	685	0	6468	44790	495	6188	533	319	32002	4105	857	1356	1491	1821	50076	3661	59727	1244	684	6550	5946	9357	279	6521	7623	2251	0	0	0	0	0	9593	0	0	0	7960	7423	11138	0	0	10254	0	3744	0	0	0	4277	0	3180	4479	0	4622	9525	0	0	0
Leptotrichia trevisanii	1159	1645	10997	0	153	1263	346	1224	28968	8838	7936	1063	6891	15419	10288	4960	5855	13678	2086	7761	15769	16192	9282	3683	10919	6384	355	4784	7272	10639	13884	4890	13381	14139	1963	782	7868	14031	13505	4635	1124	14073	4261	1769	5200	8850	4453	3353	13463	6151	27722	3671	7170	1274	13030	281	4213	2678	0	4159	14760	2095	4875	1743	725	12333	3587	2075	885	2973	5052	19839	4047	27073	1644	20333	3682	3271	4698	1334	9815	21506	3536	0	8543	8766	8277	0	33018	0	22244	0	46079	8073	29297	5744	0	12093	2919	6544	2711	0	21482	15415	0	11125	7581	0	41497	17555	12404	5252	0
Leptotrichia wadei	564	786	31914	962	398	950	339	1195	62604	18728	125654	792	11190	50330	82883	4343	26077	19757	2610	79957	20850	137564	123104	29297	96815	78230	9222	4062	186067	55674	6096	4041	22599	11227	2496	730	89946	22253	184519	4066	1027	15204	8023	15395	4115	10941	51164	1456	15320	6953	20428	1997	64419	899	26200	0	53884	1558	0	24400	154088	1712	44176	1498	1040	233109	27888	2139	15118	2773	4288	183855	9914	72215	1847	2000	98717	86741	39223	752	19853	18329	25663	0	7104	6305	5581	0	25176	3440	9997	0	22091	38000	131993	7737	0	50930	0	18152	2382	0	10604	32528	0	37329	61819	0	48029	147535	4385	0	0
Leptotrichia sp. oral taxon 212	8593	12139	13030	223	0	25327	10526	20335	13487	26893	728	19639	5634	9536	12254	41833	6409	9393	32605	10049	4573	26428	4965	10096	5079	1159	0	6483	1478	5449	47870	38979	17214	7823	4003	17005	3549	9251	2691	43315	3669	22134	7338	3868	1216	35301	1952	3259	12087	30514	8673	9399	17477	13364	19343	1979	4290	2181	0	16333	3057	32251	3611	62911	8555	3695	5136	14201	0	16589	7653	27667	23903	39168	17910	4774	3513	3091	8504	10972	22118	16522	443	125959	832393	284670	97854	103799	554458	145871	88761	6379	18999	52669	110955	42771	0	341334	36348	20764	2849	5654	71200	107004	66830	5439	77954	0	86039	149591	55300	20111	6328
Leptotrichia sp. oral taxon 215	1880	2842	6472	651	0	4019	6315	2657	9998	5833	1343	4372	3846	2540	3140	11349	2330	11341	4572	10069	3857	12330	2528	2313	5771	1088	0	1477	2374	8377	7903	6496	4185	2280	10749	3484	2076	2386	3876	10607	4523	5707	1387	1823	1247	7514	887	968	4690	8793	13175	1635	13909	1221	4843	304	1397	746	0	8056	4219	5793	1955	6215	2202	14243	4712	2641	0	3843	44635	19417	6596	12023	13392	1315	2662	2278	2573	2494	6996	3057	1438	27641	91023	58039	12166	22458	48221	20468	21371	5297	0	31503	13303	11053	0	167764	6698	39641	1102	5773	14459	11809	4309	20827	28695	0	15053	35992	44906	4406	5086
Leptotrichia sp. oral taxon 225	1594	2181	15482	221	175	3893	2003	4835	15994	13776	8288	4288	7462	10121	10793	22755	6402	25130	7025	10023	11097	23117	8743	3819	11855	7692	0	4764	5916	11023	19184	10293	13854	7743	5264	4212	6511	9741	9803	24371	1517	16570	8972	2147	2788	33513	5384	1728	15529	25802	13651	5293	9975	2751	14952	0	6743	3809	1	12808	10517	17253	7060	3987	1256	8994	4955	9644	596	5569	3719	39182	7533	31517	3708	5781	2777	2349	4972	3499	14283	12814	4357	0	6808	11073	16243	0	52805	10493	13821	0	13684	23325	32339	6675	0	36139	3465	7708	1014	0	22025	12322	0	3651	6541	0	24636	43335	7792	3064	4327
Leptotrichia sp. oral taxon 498	0	0	13608	312	0	0	0	266	56243	5231	61138	0	18143	54738	63668	836	22147	7216	495	53768	11186	54135	96220	22804	70373	39755	7221	648	118148	32964	938	692	12916	1756	2238	0	103136	11236	74205	633	0	2529	2488	9782	848	1791	27454	171	10856	976	2954	334	42469	0	6638	0	18751	0	0	4676	104693	283	39921	0	0	67797	9787	318	9168	426	673	99109	16824	77324	0	358	13519	11964	30734	0	30966	21037	1993	0	0	0	0	0	0	0	0	0	0	2185	4404	0	0	4043	0	2872	0	0	0	16376	0	2741	0	0	2444	5624	0	0	0
Leptotrichia sp. oral taxon 847	0	0	3523	0	0	0	0	0	11057	1774	16589	0	3291	10271	9810	569	3345	2648	267	7583	6097	12562	16044	7252	12627	7820	3748	471	21582	5407	772	503	2951	1624	393	0	13680	2750	12743	475	0	1760	701	1917	580	1087	4498	214	2462	677	3667	272	7014	0	2187	0	3361	0	0	1496	20444	0	5241	0	0	14460	2461	0	5112	368	617	15467	2841	10956	0	367	4787	4256	9669	0	3903	3588	1367	0	0	0	0	0	0	0	0	0	0	0	5123	0	0	3205	0	1499	0	0	0	2980	0	2283	0	0	2659	3741	0	0	0
Leptotrichia sp. oral taxon 879	851	1296	8805	220	747	990	412	1401	16728	15257	20742	923	7138	10549	20605	6442	4015	10105	2907	14122	13390	13492	11232	6415	14700	17711	362	4160	10061	12473	6912	4665	11314	4659	1695	999	9150	10372	11540	5117	643	9605	12091	2717	2519	8730	11905	1232	12710	10040	11051	1973	16900	2058	18270	0	5175	9364	2	6908	12395	2608	7022	1926	1005	12127	6367	2066	2095	2159	2294	32799	5490	19850	1184	2313	4322	3773	8163	1547	7813	9442	16561	0	0	6948	8854	0	193088	3536	5472	0	10739	22517	113928	22818	0	10093	9206	6498	898	6818	73658	15476	0	7700	20656	0	14146	36602	3596	4738	6664
Oceanivirga salmonicida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sneathia amnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptobacillus felis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptobacillus hongkongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptobacillus moniliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptobacillus notomytis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospira defluvii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas vesicularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas sp. BAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter sp. K31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Pelagibacter ubique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium icense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium manausense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. cf659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. Ec3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. Gha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. INPA54B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. Rc2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. S23321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. TSA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. WSM3983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. WSM4349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
