CMC001.A0101	2571579	8928403	2997
CMC001.A0201	3012812	11384244	3528
CMC001.B0201	3856495	9704686	98085
CMC002.A0201	2552960	9022659	18161
CMC002.B0201	2076674	4659724	42474
CMC003.A0201	3028877	8038238	38134
CMC003.B0101	4706806	11248624	53879
CMC004.A0101	3758009	10716734	24025
CMC004.B0201	3875225	10853058	32173
CMC005.A0202	3542759	9264112	68690
CMC005.B0101	4746728	9754182	96897
CMC006.A0101	4925274	11375543	10864
CMC006.B0201	3950063	8932699	80015
CMC007.B0101	3504619	7979379	76240
CMC008.A0101	3066684	7674384	31129
CMC008.B0201	3628627	9160880	69918
CMC009.A0202	3638577	7864770	44168
CMC009.B0101	4003746	9833075	117448
CMC010.A0101	3372255	10081670	29953
CMC010.B0201	3919805	9646060	106142
CMC011.A0201	2990299	10934990	23637
CMC011.B0101	3681896	11558846	14999
CMC012.A0201	3209545	8295052	28892
CMC012.B0201	3347224	7158444	37953
CMC013.A0201	4448834	11636324	70430
CMC013.B0101	5381679	11303583	133720
CMC014.A0101	4001720	9274892	6176
CMC015.A0201	3221932	8785275	26259
CMC015.B0201	4543317	11145588	72927
CMC016.A0101	1343881	3657344	16049
CMC016.B0101	3799391	11205752	53384
CMC017.A0201	1737431	6623006	17281
CMC017.B0201	3399518	10363685	40294
CMC018.A0101	3345255	8451791	35091
CMC018.B0101	3291350	11378061	23141
CMC020.A0101	3499025	9181435	22490
CMC020.B0101	4070397	11384736	75356
CMC021.A0201	2923681	7862662	41701
CMC021.B0201	3132338	9259374	55178
CMC022.A0101	5567387	15274722	29673
CMC022.B0101	3284344	13303559	8951
CMC023.A0301	2847926	9898004	20479
CMC023.B0201	4122802	11077461	125200
CMC024.A0101	2777956	10776616	11603
CMC024.B0101	3074584	11002224	41011
CMC025.A0201	3042151	9682892	12612
CMC025.B0201	5168777	13305105	60724
CMC026.A0101	3546552	9600588	130467
CMC026.B0101	4719474	11432957	57684
CMC027.A0201	1815965	7237793	6779
CMC027.B0201	3969582	11682861	68466
CMC028.A0101	2979303	10729530	28519
CMC028.B0101	4051789	11949231	2515
CMC029.A0201	2056107	6198621	20698
CMC029.B0201	4330010	11004704	124026
CMC030.A0101	3497509	10598503	64037
CMC030.B0101	3676494	10809204	4336
CMC031.A0201	3288503	7514260	3993
CMC031.B0201	4778479	10495778	91972
CMC032.A0101	935697	2506145	1653
CMC032.B0101	226	406	0
CMC033.A0201	4398660	10104926	133021
CMC033.B0201	3658013	9408596	39963
CMC034.A0101	2359944	7216886	8956
CMC034.B0101	4097349	9702265	132456
CMC035.A0201	3755025	11225355	8590
CMC035.B0201	4270435	11834685	48005
CMC036.A0101	3505130	9898458	10753
CMC036.B0101	4713125	10454911	165415
CMC037.A0201	2698903	8036889	34720
CMC037.B0201	5662949	10423539	13015
CMC038.A0101	2801706	10497117	21422
CMC038.B0101	2186859	10131824	4775
CMC039.B0201	4230639	10316342	115325
CMC040.B0101	5260714	13295902	77733
CMC041.A0201	3239543	10051277	16243
CMC042.A0201	4075003	9567202	33499
CMC042.B0101	4146993	10848946	32099
CMC043.A0101	4674682	10397969	168120
CMC043.B0101	4801721	10114506	166728
CMC044.A0201	3394066	7211546	43373
CMC045.A0201	2660742	8182631	24660
CMC045.B0201	3852650	10376220	66112
CMC046.B0201	3453983	8464973	98471
CMC047.A0201	5089719	8475491	121014
ERR1474564	2590483	8419616	6294
ERR1474565	3147971	15180568	7641
ERR1474566	3489613	15126223	5671
ERR1474567	1991440	10825488	3226
ERR1474568	15582832	47163841	26341
ERR1474569	2303295	10193558	4195
ERR1474570	11534781	31626989	17224
ERR1474571	3249059	12204368	20064
ERR1474572	716332	2657644	6100
ERR1474573	531513	2000594	971
ERR1474574	573728	2199761	3239
ERR1474575	4163821	15037478	6643
ERR1474576	1022763	3306696	3186
ERR1474577	2555116	7910451	5653
ERR1474578	1184639	4101841	3128
ERR1474579	3662989	11617325	6888
ERR1474580	11973382	61751438	21453
ERR1474581	808356	3671195	2132
ERR1474582	2146104	11042844	6642
ERR1474583	2339139	12531910	5876
ERR1474584	2945702	11197142	5194
ERR1474585	13258773	44724922	17213
ERR1474586	12858732	49720991	14439
ERR1474587	8944307	34403419	14535
EXB059.A0901	319294	691291	1503
EXB059.A1001	51864	303315	203
EXB059.A1101	1783994	3778591	56462
EXB059.A1201	148625	509346	859
EXB059.A1301	599720	1119263	17946
EXB059.A1401	140973	619062	441
EXB059.A1501	36925	216981	151
EXB059.A1601	14	97	0
EXB059.A1701	54852	289638	163
EXB059.A1801	348121	952482	1154
EXB059.A1901	312927	612184	9509
EXB059.A2001	183499	503069	854
JAE006.A0101	12601868	75080144	16133
JAE007.A0101	10220148	56050122	7730
JAE008.A0101	8004282	57090195	21130
JAE009.A0101	7269596	58551436	105218
JAE010.A0101	7041644	52802079	53873
JAE012.A0101	8157101	54389606	46715
JAE013.A0101	5479240	33367670	12039
JAE014.A0101	6575464	61855688	12193
JAE015.A0101	5882134	51470270	5700
JAE016.A0101	9462351	84889676	18057
LIB050.A0101	25651	175158	66
LIB050.A0102	29987	146289	74
LIB050.A0103	83037	408861	148
LIB050.A0105	8	95	0
LIB050.A0106	51263	303698	241
LIB050.A0107	104560	440253	308
SRR061192	5870107	15949545	101706
SRR061294	2382205	7936569	59530
SRR061320	4972287	18534645	25887
SRR061365	7311297	19523725	76294
SRR061562	6891898	25998170	73486
SRR062083	6764332	26996489	18624
SRR062298	2467804	11478403	26286
SRR062299	1114355	5572678	6123
SRR063517	5672415	20212534	83628
SRR1646026	9533	204816	2
SRR1646027	11123	269926	1
SRR1646028	190302	6018287	16
SRR1646029	5411	217408	0
SRR1646030	35966	1195639	97
SRR1646031	300986	3612127	555
SRR1646032	6674	153723	34
SRR1646033	53189	1126343	145
SRR1646034	468	14859	0
SRR1646035	2746	58975	0
SRR1646036	164	2276	1
SRR1646037	15860	260394	5
SRR1646038	104687	1732338	204
SRR1646039	40227	775232	88
SRR1646040	128409	3029027	192
SRR1646041	444	13789	5
SRR1646042	92395	1264900	155
SRR1646043	26186	695776	63
SRR1646044	57520	740624	154
SRR1646045	12898	133861	25
SRR1646046	94279	1297618	105
SRR1646047	20631	516901	53
SRR1804664	6846762	20542882	159985
SRR1804823	5281000	13997683	26663
SRR512767	17917633	48308273	342533
SRR513165	3357284	10961637	30616
SRR513768	7609777	20097579	156376
SRR513775	6985227	17055519	102586
SRR513828	8583250	37377782	443007
SRR514202	2560089	9181407	9623
SRR514239	3409555	13194167	38184
SRR514306	12544804	25071233	308702
SRR514329	5806234	22329346	18199
SRS011247	4114570	13692057	9507
SRS011310	4014847	11789472	21380
SRS013252	15393840	45668265	418648
SRS013506	3075651	9499693	8862
SRS013942	1468668	3051950	2726
SRS013945	7681375	17362870	9766
SRS013949	13792227	37089788	63127
SRS013950	4195036	16541845	23184
SRS014107	1505557	5583937	5231
SRS014468	408058	1108838	586
SRS014477	1707241	5134895	10980
SRS014578	8650476	29893470	45673
SRS014691	4955600	16861815	27881
SRS014692	2657372	7584508	1892
SRS015055	1419103	3339889	2102
SRS015063	10520289	30779506	115232
SRS015064	5298067	13301070	30874
SRS015436	4166748	10379823	38786
SRS015799	2949984	7469701	7623
SRS016331	8023345	26475765	148326
SRS017445	16663688	60459547	44921
SRS017814	3396119	18710997	21580
SRS018359	2827289	6698863	7337
SRS018665	11843889	42431577	122923
SRS019029	4366077	18643028	42511
SRS019120	1590276	3521442	3054
SRS019124	4712536	11929685	17070
SRS019129	2922240	11016879	12614
SRS019587	5131922	9950978	8877
SRS024281	8601626	19813013	28683
SRS043239	2389021	8380747	13663
SRS047100	8179250	28802079	125284
