Species	CMC001.A0101.SG1.unmapped	CMC001.A0201.SG1.unmapped	CMC001.B0201.SG1.unmapped	CMC002.A0201.SG1.unmapped	CMC002.B0201.SG1.unmapped	CMC003.A0201.SG1.unmapped	CMC003.B0101.SG1.unmapped	CMC004.A0101.SG1.unmapped	CMC004.B0201.SG1.unmapped	CMC005.A0202.SG1.unmapped	CMC005.B0101.SG1.unmapped	CMC006.A0101.SG1.unmapped	CMC006.B0201.SG1.unmapped	CMC007.B0101.SG1.unmapped	CMC008.A0101.SG1.unmapped	CMC008.B0201.SG1.unmapped	CMC009.A0202.SG1.unmapped	CMC009.B0101.SG1.unmapped	CMC010.A0101.SG1.unmapped	CMC010.B0201.SG1.unmapped	CMC011.A0201.SG1.unmapped	CMC011.B0101.SG1.unmapped	CMC012.A0201.SG1.unmapped	CMC012.B0201.SG1.unmapped	CMC013.A0201.SG1.unmapped	CMC013.B0101.SG1.unmapped	CMC014.A0101.SG1.unmapped	CMC015.A0201.SG1.unmapped	CMC015.B0201.SG1.unmapped	CMC016.A0101.SG1.unmapped	CMC016.B0101.SG1.unmapped	CMC017.A0201.SG1.unmapped	CMC017.B0201.SG1.unmapped	CMC018.A0101.SG1.unmapped	CMC018.B0101.SG1.unmapped	CMC020.A0101.SG1.unmapped	CMC020.B0101.SG1.unmapped	CMC021.A0201.SG1.unmapped	CMC021.B0201.SG1.unmapped	CMC022.A0101.SG1.unmapped	CMC022.B0101.SG1.unmapped	CMC023.A0301.SG1.unmapped	CMC023.B0201.SG1.unmapped	CMC024.A0101.SG1.unmapped	CMC024.B0101.SG1.unmapped	CMC025.A0201.SG1.unmapped	CMC025.B0201.SG1.unmapped	CMC026.A0101.SG1.unmapped	CMC026.B0101.SG1.unmapped	CMC027.A0201.SG1.unmapped	CMC027.B0201.SG1.unmapped	CMC028.A0101.SG1.unmapped	CMC028.B0101.SG1.unmapped	CMC029.A0201.SG1.unmapped	CMC029.B0201.SG1.unmapped	CMC030.A0101.SG1.unmapped	CMC030.B0101.SG1.unmapped	CMC031.A0201.SG1.unmapped	CMC031.B0201.SG1.unmapped	CMC032.A0101.SG1.unmapped	CMC032.B0101.SG1.unmapped	CMC033.A0201.SG1.unmapped	CMC033.B0201.SG1.unmapped	CMC034.A0101.SG1.unmapped	CMC034.B0101.SG1.unmapped	CMC035.A0201.SG1.unmapped	CMC035.B0201.SG1.unmapped	CMC036.A0101.SG1.unmapped	CMC036.B0101.SG1.unmapped	CMC037.A0201.SG1.unmapped	CMC037.B0201.SG1.unmapped	CMC038.A0101.SG1.unmapped	CMC038.B0101.SG1.unmapped	CMC039.B0201.SG1.unmapped	CMC040.B0101.SG1.unmapped	CMC041.A0201.SG1.unmapped	CMC042.A0201.SG1.unmapped	CMC042.B0101.SG1.unmapped	CMC043.A0101.SG1.unmapped	CMC043.B0101.SG1.unmapped	CMC044.A0201.SG1.unmapped	CMC045.A0201.SG1.unmapped	CMC045.B0201.SG1.unmapped	CMC046.B0201.SG1.unmapped-1	CMC047.A0201.SG1.unmapped	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE016.A0101.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped
Capnocytophaga	376116	547303	499691	22680	4279	458566	281690	519970	305905	1112065	3484	797840	143530	566556	618157	775752	198184	303646	525814	336055	257642	382183	144213	105588	341014	92918	8858	333439	101674	169622	356274	218843	420136	786493	294864	273602	277348	349759	111183	1486583	170044	496795	87387	529449	172279	66784	93777	188084	221047	99743	478411	620211	1054655	336516	308211	825575	495829	422591	298277	472148	45	817518	95467	294383	349838	646949	85979	726325	204898	401983	45140	351003	169178	329780	907965	777346	910659	154490	350745	340665	96537	346644	316244	252662	33345	129422	287104	662090	135054	334649	242012	174210	550673	23522	11529	108276	122299	43311	23943	53174	175822	351893	74468	180566	85907	180639	387952	174395	524611	6967233	5410127	3419702	1904890	4776137	6454977	3393606	482020	80334	118993	4509	69297	99531	19721	62477	15247	143942	55010	29368	93593	74359	35473	17745	265424	28620	160611	22124	0	551405
Bergeyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	6496	0	0	0	6500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Empedobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ornithobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0	0	0	0	0	0	7630	0	0	0	0	0	5956	0	4247	0	0	1425	0	0	0	0	0	0	1344	1416	0	0	0	0	0	0	0	0	0	0	0
Riemerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0	0	0	0	0	0	893	0	0	0	0	0	0	0	0	0	7250	0	16585	15161	0	0	8257	15511	7459	0	0	2254	952	434	5671	123	0	0	1756	1204	1065	596	0	0	0	0	0	0	0	0	0
Candidatus Kryptonium	2273	5195	5304	3807	1889	0	1786	3761	1505	2378	1312	6989	3997	1606	1282	12514	0	1706	2671	2986	2372	5164	2699	2122	2243	1862	3303	5109	5221	1175	2767	1097	2449	2842	19740	0	5506	1005	3932	1734	2112	2737	1364	4319	2252	1099	2105	1785	4923	2489	2498	2212	1938	2739	1658	1941	1503	4050	1635	2135	0	0	0	2016	2824	8811	4621	1338	2770	6935	0	5528	3223	2573	9308	3336	3096	7454	19677	6094	1830	1871	2218	0	2704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3716
Fusobacterium	50337	51979	246911	49045	4631	90119	124502	79209	251479	384546	18417	151579	66671	344792	221257	264457	80318	148499	98310	157590	169960	194221	128514	117173	136848	16836	17555	48485	53939	100198	126722	141064	189749	258877	163644	253461	194216	109557	111537	289342	203661	224366	48207	138503	65142	118400	98576	88112	65636	81736	206877	181254	193372	79025	248254	159245	187832	115125	58971	74965	0	117436	163024	75695	114872	221643	79922	308956	101283	74724	2667	224959	276026	283409	602351	327802	102649	256414	34435	32875	127509	56172	312894	263981	15621	221669	474998	644353	405565	690577	227174	261729	157628	28741	30965	93042	313271	42916	32316	99298	262263	1223707	103031	154007	276865	382000	3704841	223726	1691513	114533	1835003	482700	232413	245313	665454	239036	374311	204576	160395	26768	93025	725545	20507	163300	19521	318159	19439	102479	88775	594876	101642	62267	233855	82843	133066	33131	0	26853
Leptotrichia	72530	88122	1007045	19877	12845	183440	120783	210944	1191657	1057046	1089243	170303	454617	757165	149392	564377	671995	1119357	311949	1201917	836827	1146758	1444678	520027	1585336	1256890	120774	336623	2027141	674052	1065359	288054	1212895	589961	239422	386515	1533897	750607	1693579	846008	107210	898120	1054792	120664	293780	227609	2245810	379212	750990	99047	1234608	862249	1400197	192192	1276844	611296	1460226	11492	713485	38914	24	466565	1747310	92038	766411	277454	99404	309810	480867	161098	168399	413673	476024	2471358	658649	1778598	229976	1872215	768399	748242	579590	86401	963833	728961	248481	107087	164028	296267	158511	412001	110456	350192	38832	29482	70018	46852	530132	45078	30422	129430	131064	3080038	78219	217218	251897	161685	426377	290491	380198	192630	1045342	468187	224689	149445	1257847	229626	317439	29610	62550	7476	8691	29222	11817	23169	36620	37962	6214	36891	14359	15207	27327	19718	182956	28704	25548	18359	0	39108
Oceanivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	0	0	467	0	0	0	0	0	0	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoleptotrichia	10249	14505	0	0	0	0	0	5785	1757	1337	0	0	2145	940	122200	0	0	0	0	0	1009	0	1010	1374	1215	0	0	5254	3450	0	0	2792	0	7490	0	0	0	1709	0	2804	0	3576	0	3656	0	0	0	0	0	6869	1562	0	0	4700	0	6120	0	127142	0	1648	0	0	0	953	0	0	0	1083	0	7574	0	988	1597	0	4244	3507	0	0	0	0	1372	13907	1254	6613	0	0	0	0	3824	0	0	0	0	0	467	241	1767	1208	0	652	0	6619	529	0	0	0	14061	0	6626	24215	19273	60007	8611	13221	0	0	9553	0	0	0	1033	0	340	0	0	0	0	0	1277	10513	0	0	0	0	0	0	0	4171
