Species	CMC001.A0101.SG1.unmapped	CMC001.A0201.SG1.unmapped	CMC001.B0201.SG1.unmapped	CMC002.A0201.SG1.unmapped	CMC002.B0201.SG1.unmapped	CMC003.A0201.SG1.unmapped	CMC003.B0101.SG1.unmapped	CMC004.A0101.SG1.unmapped	CMC004.B0201.SG1.unmapped	CMC005.A0202.SG1.unmapped	CMC005.B0101.SG1.unmapped	CMC006.A0101.SG1.unmapped	CMC006.B0201.SG1.unmapped	CMC007.B0101.SG1.unmapped	CMC008.A0101.SG1.unmapped	CMC008.B0201.SG1.unmapped	CMC009.A0202.SG1.unmapped	CMC009.B0101.SG1.unmapped	CMC010.A0101.SG1.unmapped	CMC010.B0201.SG1.unmapped	CMC011.A0201.SG1.unmapped	CMC011.B0101.SG1.unmapped	CMC012.A0201.SG1.unmapped	CMC012.B0201.SG1.unmapped	CMC013.A0201.SG1.unmapped	CMC013.B0101.SG1.unmapped	CMC014.A0101.SG1.unmapped	CMC015.A0201.SG1.unmapped	CMC015.B0201.SG1.unmapped	CMC016.A0101.SG1.unmapped	CMC016.B0101.SG1.unmapped	CMC017.A0201.SG1.unmapped	CMC017.B0201.SG1.unmapped	CMC018.A0101.SG1.unmapped	CMC018.B0101.SG1.unmapped	CMC020.A0101.SG1.unmapped	CMC020.B0101.SG1.unmapped	CMC021.A0201.SG1.unmapped	CMC021.B0201.SG1.unmapped	CMC022.A0101.SG1.unmapped	CMC022.B0101.SG1.unmapped	CMC023.A0301.SG1.unmapped	CMC023.B0201.SG1.unmapped	CMC024.A0101.SG1.unmapped	CMC024.B0101.SG1.unmapped	CMC025.A0201.SG1.unmapped	CMC025.B0201.SG1.unmapped	CMC026.A0101.SG1.unmapped	CMC026.B0101.SG1.unmapped	CMC027.A0201.SG1.unmapped	CMC027.B0201.SG1.unmapped	CMC028.A0101.SG1.unmapped	CMC028.B0101.SG1.unmapped	CMC029.A0201.SG1.unmapped	CMC029.B0201.SG1.unmapped	CMC030.A0101.SG1.unmapped	CMC030.B0101.SG1.unmapped	CMC031.A0201.SG1.unmapped	CMC031.B0201.SG1.unmapped	CMC032.A0101.SG1.unmapped	CMC032.B0101.SG1.unmapped	CMC033.A0201.SG1.unmapped	CMC033.B0201.SG1.unmapped	CMC034.A0101.SG1.unmapped	CMC034.B0101.SG1.unmapped	CMC035.A0201.SG1.unmapped	CMC035.B0201.SG1.unmapped	CMC036.A0101.SG1.unmapped	CMC036.B0101.SG1.unmapped	CMC037.A0201.SG1.unmapped	CMC037.B0201.SG1.unmapped	CMC038.A0101.SG1.unmapped	CMC038.B0101.SG1.unmapped	CMC039.B0201.SG1.unmapped	CMC040.B0101.SG1.unmapped	CMC041.A0201.SG1.unmapped	CMC042.A0201.SG1.unmapped	CMC042.B0101.SG1.unmapped	CMC043.A0101.SG1.unmapped	CMC043.B0101.SG1.unmapped	CMC044.A0201.SG1.unmapped	CMC045.A0201.SG1.unmapped	CMC045.B0201.SG1.unmapped	CMC046.B0201.SG1.unmapped-1	CMC047.A0201.SG1.unmapped	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE016.A0101.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped
Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5228	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1629	0	0	0	0	0	0	0	0	0	0	721	0	0	0	796	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	866	770	0	0	0	0	3438	0	0	0	0	0	0	0	2168	1602	9444	2436	0	8887	0	0	795	445	362	2148	10926	1210	885	4359	7235	699	3360	1951	1053	0	7332	4488	0	0	0	0	0	0	0	0	0	0	33198	0	0	0	0	0	0	0	0	529	19736	0	0	0	0	0	0	0	0
Nitrospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvularcula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Pelagibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17176	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ochrobactrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12977	873	0	1117	0	0	4496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nesiotobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lautropia	266294	330302	34205	1099	0	744882	184286	535510	147660	12750	8128	2414168	1145385	77925	134829	31305	198226	188801	252332	12298	20139	17607	119030	72077	70326	545156	0	165001	132190	4563	0	106795	26271	473523	5303	39794	79351	39149	35442	1224943	42047	78791	32668	318124	65873	14570	98777	62344	100005	65268	34182	350694	43050	173260	49912	290127	0	1341008	236484	58877	13	419181	16165	360216	2572	1899780	40109	658571	56958	414578	0	265326	19223	9768	88269	33321	712840	0	0	0	4975	204233	104963	59886	0	23870	23525	146480	49832	83826	29247	143853	83629	2174	0	3684	0	2068	0	1373	0	60617	51700	46255	9022	30476	288865	34116	64325	4780883	2241929	1599045	1456224	1320185	11490531	2105126	112951	14616	23635	1440	10688	1813619	4345	0	9777	8056	1522	38876	23950	9069	2538	6249	3035	11722	21589	3852	0	455746
Brachymonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extensimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melaminivora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia	970623	1592710	0	0	0	80882	19276	212710	1938	3874	0	352939	10565	0	410985	80478	4556	0	590011	4145	22541	792303	0	34666	6639	0	0	439756	1398	5559	0	12620	1505	29163	0	22060	0	36470	0	476692	16415	151003	0	912391	255049	82669	0	142357	42288	448411	12828	128348	1554918	256650	0	297085	1434	3737	0	238965	0	0	0	287351	0	160412	12362	28519	0	245346	0	78709	987	0	0	5519	84334	0	0	0	0	423310	2443	0	0	0	0	16947	0	7166	12948	0	9004	0	0	1020	0	0	0	0	0	0	5313	9289	0	1630	0	0	3389	12756129	5798425	11659069	1773992	2737820	0	855813	2257203	0	0	0	0	0	710	0	1706	0	0	0	0	0	0	0	0	0	0	0	0	3259404
Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3288	0	0
Conchiformibius	4018	5031	0	0	0	0	0	2588	0	0	0	0	0	0	1683	0	0	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725
Eikenella	111621	163596	10773	3137	0	50231	120976	93561	14593	24784	0	307465	11981	25511	132034	119580	10068	16361	124186	16671	4754	43275	8937	9089	14358	0	0	30819	2047	7053	4053	18280	14419	44126	84013	29369	3037	13461	3474	161606	28697	22414	8188	245151	29286	8125	5607	23117	6977	38743	23984	6570	127044	46864	6474	79396	5582	31351	3058	34300	1	35261	4243	29044	2919	161522	31376	154761	14389	53344	5995	33682	9655	11445	38673	25341	93351	5937	4997	4720	926	59251	14358	6389	0	6196	9599	19582	7074	27025	12966	7911	15404	731	1214	1385	13724	1010	0	1869	6962	23442	3246	10823	4739	7261	38956	5944	22578	2376398	2104223	709249	422970	1096963	585457	889242	133238	2250	3202	0	2655	4373	660	0	926	3793	5558	0	7204	1596	0	0	14889	2590	7294	0	0	297994
Kingella	39996	52405	4469	3347	0	59618	24345	86407	28661	37949	29812	94552	13952	45824	39981	27464	66170	35745	78893	15112	21495	5838	27779	22826	86362	24006	0	26019	10805	21264	5143	6966	1748	89898	3035	24287	2037	7872	4175	15532	0	8725	30529	5309	2996	1064	17929	79461	11624	2778	17203	11165	4222	16232	2019	38073	0	18023	1940	19392	4	150905	56633	18045	0	45925	1904	57515	26411	15484	29767	9456	0	8010	76690	42157	12903	1615	30422	28976	11655	20416	24177	7863	28407	5618	11723	26877	3300	23601	9395	12415	8594	285	2318	1460	29680	4767	801	11233	1406	62576	5258	65103	16153	11328	45493	56057	3959	97101	562437	31557	35784	525529	230900	829008	70974	16033	5516	0	1218	0	917	1493	1925	0	10206	1550	1950	1489	14609	0	24611	9920	12779	0	0	42449
Morococcus	16323	17420	3400	996	0	23250	50917	14241	4916	4884	0	92583	23481	2282	3854	4977	26426	7517	19117	3331	4880	3781	0	2496	4828	0	0	2818	0	3615	0	4423	0	13300	1938	13130	1313	2815	0	14513	1204	3541	0	17022	2566	0	0	5237	0	658	1630	18878	4949	6601	0	32570	0	12962	1542	6665	0	41093	2763	24404	0	17645	0	200496	4735	12259	0	20246	1199	4279	10636	2959	99859	0	0	0	0	5063	4425	0	0	84354	64343	61339	22846	34416	8709	24329	13179	9522	6668	4656	29868	2494	0	5885	6732	59244	14195	20255	9323	34712	8700	32756	31177	357126	440939	44290	44683	59373	19859	267002	0	0	0	4368	5109	24079	316	0	2506	6803	16302	1405	3539	1448	17564	2733	0	7063	2381	1381	0	13213
Neisseria	661884	724880	473973	39327	1342	757810	1684149	743683	329489	223801	14476	1973689	606912	84516	189168	529502	581406	379840	335074	84015	274283	623683	59275	119518	205665	90635	0	322234	33985	101967	10720	117399	41942	529036	200316	129788	11833	88955	6392	630456	62910	162814	15057	243811	92950	40341	55909	208398	100353	21426	115242	624046	626060	330562	33175	539873	24766	791491	47806	443553	15	930334	55628	940376	15473	707875	19493	1389670	99266	736116	6455	386126	37763	151190	576239	250673	2078547	2332	34515	33109	13605	264629	194632	22519	4167	1678730	626222	3565272	1037210	4087442	1045432	833722	2776569	127731	220707	192446	2396911	197069	118954	523158	195541	3930371	660144	1501042	942179	1336317	1832567	632198	1978935	10259336	10772207	1752623	1814710	1929462	3320169	7592317	71166	262305	17908	199069	333918	2538193	68624	1192	123050	291990	660777	118692	450901	193697	117079	25970	576195	308823	96058	127019	0	545738
Simonsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6020	1631	4424	0	0	990	0	16340	953	0	0	0	2299	1128	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2038	0	717	0	473	0	0	0	1965	0	0	0	0	0	0	0	0	0
Aromatoleum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1776
Candidatus Dactylopiibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26386	11594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionivibrio	1471	1457	0	0	0	0	0	0	0	0	0	0	0	0	2372	0	0	0	1203	0	0	0	0	0	0	0	0	1361	0	0	0	0	0	0	0	0	0	0	0	2052	1029	0	0	1455	1401	0	0	0	0	985	0	3663	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	0	0	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213
Thauera	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobulbus	64480	84961	1858	38267	0	1458	0	4609	0	0	0	0	0	1858	0	1415	0	0	10259	2494	21350	16261	0	1656	1512	0	0	9682	0	0	0	6279	4388	0	3300	5699	0	7054	1273	0	43453	9322	0	21200	17538	86899	5558	9307	36043	69732	0	22463	3376	2297	0	15537	0	4014	0	1792	0	0	0	15359	0	14097	62816	1501	0	6804	0	19713	65276	0	0	9980	0	0	0	0	0	8437	0	0	0	0	0	3357	5018	0	0	0	0	675	237	0	0	0	0	0	0	7584	1368	983	0	1968	0	0	0	0	0	152760	715226	109956	0	13985	5330256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28435
Desulfomicrobium	0	0	0	3389	3196	0	0	3517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3134	60508	0	0	6924	0	0	0	32177	0	0	0	0	0	0	0	0	0	0	0	10473	0	0	0	0	0	0	0	0	0	3333	0	10712	2420	2976	2135	18207	0	22249	44021	0	0	1140	2499	0	0	0	0	0	0	0	0	4142	2352	0	0	0	8030	0	12253	0	0	529	0	0	1186	2115	0	7942	0	6651	10358	5095	7055	0	5383	0	0	0	0	110821	0	0	16464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1949
Desulfovibrio	0	0	0	2028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3772	0	0	4344	1733	0	0	0	0	0	0	0	0	0	0	0	12858	0	0	0	0	0	7879	0	0	0	0	0	0	0	0	0	0	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13864	0	0	0	95192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019
Geobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corallococcus	0	0	0	0	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	0	0	0	1138	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	1415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter	106092	153362	99001	44589	2625	52899	35992	26090	71003	92514	35330	72775	49713	183094	42200	57363	39564	51644	99499	185438	156669	277917	54080	48848	173358	39671	28218	91863	128150	55671	132487	60759	133629	129543	210767	131412	155327	83513	84084	152803	306650	131588	60688	148251	188867	95574	83180	34937	129989	71968	99521	104866	252713	93521	219696	58906	295240	3283	114493	33858	7	41970	109254	41910	117605	137309	152204	138207	77307	52870	36401	69598	148960	142704	120442	195493	84778	129241	349984	347254	54468	21380	107515	42143	46913	45287	57559	165457	80595	504629	101346	183915	67373	13434	12390	21440	99694	12157	24418	28904	54781	387426	31904	82705	130225	128287	271072	145777	351435	166780	198280	995881	479855	282044	618479	479041	671526	42733	4635	5857	18469	5010	22738	269423	149660	29026	2168	6150	18565	4283	4747	3932	111991	9717	28781	17710	0	139425
Cardiobacterium	99668	152895	30161	1583	0	255103	174673	419468	104126	223098	0	47047	45736	30653	221195	192364	47526	46062	211344	17359	42934	9142	39179	25034	131239	11890	0	231956	19189	29856	0	112975	75573	230882	28597	44275	11200	65973	5288	129875	6569	136385	4853	69369	41505	14925	22289	130076	24437	53547	78148	148305	7896	147359	4159	258760	4077	32667	65049	11262	0	140692	10324	57072	3667	117621	61554	87111	9672	284772	0	93756	3421	43213	237506	187320	53110	1136	0	0	11752	402446	127839	42240	0	1700	9318	7699	2331	15967	2504	8395	20988	378	387	757	3282	1130	0	1308	0	23886	1502	6276	1831	1818	55435	0	23865	895831	653545	948398	908578	301648	2298852	394784	396260	5987	0	0	2994	0	873	991	1589	0	3220	2710	8265	0	4063	0	45777	1614	2929	0	0	338058
Kosakonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocaldum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
