#Datasets	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped
"Prevotella denticola"	6476.0	16865.0	20402.0	19187.0	47626.0	8835.0	25154.0	10305.0	35340.0	1468.0	4684.0	13929.0	4612.0	32466.0	2635.0	30398.0	64951.0	5411.0	28324.0	223176.0	85383.0	27299.0	98943.0	39949.0	3515.0	1879.0	0.0	1709.0	0.0	838.0	16297.0	2440.0	1279.0	0.0	1039.0	2435.0	0.0	0.0	0.0	9181.0	0.0	6490.0	0.0
"Prevotella disiens"	0.0	1583.0	1587.0	3473.0	14729.0	2259.0	9899.0	0.0	617.0	350.0	0.0	5860.0	491.0	4221.0	584.0	4933.0	6539.0	569.0	1016.0	2542.0	4837.0	5674.0	33355.0	10761.0	0.0	0.0	1064.0	0.0	0.0	113.0	3186.0	379.0	0.0	0.0	0.0	401.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella enoeca"	3382.0	3853.0	3859.0	11553.0	8438.0	1212.0	3734.0	1511.0	3671.0	6811.0	2715.0	11717.0	3403.0	7786.0	1759.0	6390.0	14891.0	1190.0	9918.0	8913.0	27733.0	6974.0	7870.0	11029.0	0.0	0.0	0.0	18355.0	4464.0	1490.0	4202.0	2074.0	0.0	0.0	0.0	24993.0	1471.0	0.0	0.0	6274.0	0.0	0.0	0.0
"Prevotella fusca"	5803.0	14859.0	23664.0	14611.0	55495.0	4290.0	14884.0	33699.0	4223.0	2701.0	2815.0	27481.0	1479.0	19834.0	19490.0	28773.0	17734.0	6501.0	37855.0	66861.0	10138.0	42035.0	43367.0	60951.0	2375.0	0.0	990.0	382.0	0.0	390.0	6440.0	731.0	0.0	0.0	0.0	1530.0	0.0	0.0	0.0	46091.0	0.0	0.0	0.0
"Prevotella histicola"	1043.0	82830.0	1317.0	113205.0	2916022.0	301797.0	5480843.0	15544.0	16190.0	11448.0	18376.0	230583.0	35400.0	755148.0	23737.0	562468.0	8779.0	908.0	63265.0	44826.0	199105.0	512034.0	3205536.0	611124.0	18664.0	0.0	5535.0	0.0	0.0	19659.0	117501.0	86990.0	0.0	0.0	887.0	1527.0	0.0	3197.0	9251.0	15993.0	7223.0	4228.0	0.0
"Prevotella ihumii"	0.0	0.0	0.0	1707.0	0.0	1049.0	3537.0	0.0	376.0	183.0	0.0	2034.0	0.0	1340.0	0.0	3141.0	0.0	0.0	0.0	1754.0	2485.0	0.0	18025.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	3552.0	0.0	0.0	0.0	0.0	537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella intermedia"	26046.0	98435.0	202728.0	131026.0	475370.0	223162.0	59413.0	71292.0	53216.0	20970.0	34659.0	147131.0	22394.0	113937.0	19448.0	347019.0	387579.0	20358.0	122245.0	172398.0	363775.0	109634.0	142192.0	323921.0	2761.0	0.0	3530.0	3603.0	0.0	5400.0	23643.0	43863.0	4684.0	2014.0	1369.0	9703.0	2390.0	0.0	4999.0	47232.0	0.0	2104.0	0.0
"Prevotella jejuni"	6391.0	87911.0	5098.0	84707.0	1087057.0	74826.0	463429.0	18845.0	39451.0	8666.0	4590.0	219332.0	12136.0	376666.0	22607.0	299992.0	73460.0	10513.0	21429.0	47783.0	171343.0	199450.0	3080071.0	280471.0	9451.0	0.0	3346.0	925.0	0.0	4300.0	102873.0	14895.0	2363.0	0.0	4175.0	5008.0	0.0	1615.0	0.0	5427.0	11831.0	2871.0	0.0
"Prevotella loescheii"	2169.0	21964.0	15978.0	13305.0	0.0	1952.0	12208.0	4344.0	1325.0	753.0	1934.0	5695.0	2434.0	1175.0	4160.0	20884.0	6198.0	3353.0	3853.0	5275.0	10720.0	0.0	9024.0	14038.0	0.0	0.0	0.0	5033.0	0.0	353.0	4882.0	410.0	6113.0	0.0	0.0	12445.0	0.0	0.0	0.0	33449.0	0.0	0.0	0.0
"Prevotella maculosa"	2245.0	4924.0	3375.0	10977.0	15925.0	6596.0	12654.0	3945.0	1892.0	938.0	1387.0	41827.0	1721.0	6723.0	3526.0	10069.0	23740.0	2663.0	7711.0	36148.0	11280.0	7770.0	22850.0	11738.0	0.0	0.0	1707.0	1793.0	0.0	663.0	5513.0	1548.0	0.0	0.0	0.0	3285.0	0.0	0.0	0.0	22488.0	0.0	3143.0	0.0
