NCBItaxID	Species
1497953	Bacteroidales bacterium KA00251
1497954	Bacteroidales bacterium KA00344
1855373	Bacteroidales bacterium KHT7
1945890	Bacteroidales bacterium WCE2004
1945891	Bacteroidales bacterium WCE2008
989	Marinilabilia salmonicolor
1541063	Prolixibacter denitrificans
1076522	Asinibacterium sp. OR43
1647451	Chitinophaga barathri
1434707	Taibaiella chishuiensis
237018	Algoriphagus aquimarinus
388413	Algoriphagus machipongonensis
232259	Belliella baltica
1500549	Belliella buryatensis
591202	Arcicella aurantiaca
153721	Sporocytophaga myxococcoides
336989	Pontibacter roseus
1610492	Pontibacter ummariensis
1227077	Siccationidurans arizonensis
649333	Bizionia echini
28188	Capnocytophaga canimorsus
1017	Capnocytophaga gingivalis
45242	Capnocytophaga granulosa
45243	Capnocytophaga haemolytica
327575	Capnocytophaga leadbetteri
1018	Capnocytophaga ochracea
1019	Capnocytophaga sputigena
209053	Capnocytophaga sp. ChDC OS43
1705617	Capnocytophaga sp. oral taxon 323
712211	Capnocytophaga sp. oral taxon 324
712212	Capnocytophaga sp. oral taxon 326
706435	Capnocytophaga sp. oral taxon 329
712213	Capnocytophaga sp. oral taxon 332
712216	Capnocytophaga sp. oral taxon 336
710239	Capnocytophaga sp. oral taxon 338
712217	Capnocytophaga sp. oral taxon 380
1227265	Capnocytophaga sp. oral taxon 863
1316593	Capnocytophaga sp. oral taxon 864
1316596	Capnocytophaga sp. oral taxon 878
1627892	Dokdonia pacifica
1101402	Flavobacterium aciduliphilum
459526	Flavobacterium anhuiense
1236486	Flavobacterium aquaticum
245	Flavobacterium aquatile
55197	Flavobacterium branchiophilum
1306519	Flavobacterium commune
229203	Flavobacterium degerlachei
206041	Flavobacterium gelidilacus
1492737	Flavobacterium gilvum
386300	Flavobacterium glaciei
986	Flavobacterium johnsoniae
1159016	Flavobacterium marinum
178355	Flavobacterium omnivorum
96345	Flavobacterium psychrophilum
604089	Flavobacterium sinopsychrotolerans
344881	Flavobacterium soli
29536	Flavobacterium succinicans
402734	Flavobacterium terrigena
178356	Flavobacterium xinjiangense
935223	Flavobacterium xueshanense
95618	Flavobacterium sp. B17
1736610	Flavobacterium sp. Root935
218490	Polaribacter butkevichii
574710	Polaribacter gangjinensis
1816680	Vaginella massiliensis
1790137	Wenyingzhuangia fucanilytica
262005	Winogradskyella epiphytica
336810	Candidatus Sulcia muelleri
1015	Bergeyella zoohelcum
680127	Chryseobacterium culicis
250	Chryseobacterium gleum
253	Chryseobacterium indologenes
558152	Chryseobacterium piperi
1302687	Chryseobacterium polytrichastri
1037377	Chryseobacterium viscerum
1500282	Chryseobacterium sp. CF365
1705393	Chryseobacterium sp. ERMR1:04
1681828	Chryseobacterium sp. Hurlbut01
1862702	Chryseobacterium sp. KLBC 52
1827290	Chryseobacterium sp. MYb7
2015076	Chryseobacterium sp. T16E-39
1500295	Chryseobacterium sp. YR477
1500296	Chryseobacterium sp. YR480
421530	Chryseobacterium bovis
365343	Chryseobacterium caeni
421072	Chryseobacterium halperniae
237258	Cloacibacterium normanense
1117645	Elizabethkingia anophelis
238	Elizabethkingia meningoseptica
247	Empedobacter brevis
34085	Riemerella anatipestifer
103810	Riemerella columbina
1071918	Riemerella columbipharyngis
619805	Soonwooa buanensis
1715139	Weeksella sp. HMSC059D05
363852	Pedobacter ginsengisoli
1010	Sphingobacterium mizutaii
459529	Sphingobacterium siyangense
1933220	Sphingobacterium sp. B29
2003121	Sphingobacterium sp. G1-14
1581095	Sphingobacterium sp. HMSC13C05
652708	Bacteroidetes oral taxon 274
1643429	Candidatus Kryptobacter tengchongensis
1633631	Candidatus Kryptonium thompsoni
28122	Fibrobacter intestinalis
1896216	Fibrobacter sp. UWP2
1945871	Fibrobacter sp. UWS4
861299	Gemmatirosa kalamazoonesis
180163	Cetobacterium ceti
134605	Fusobacterium equinum
849	Fusobacterium gonidiaformans
1583098	Fusobacterium hwasookii
1852365	Fusobacterium massiliense
850	Fusobacterium mortiferum
77917	Fusobacterium naviforme
859	Fusobacterium necrophorum
851	Fusobacterium nucleatum
860	Fusobacterium periodonticum
854	Fusobacterium russii
861	Fusobacterium ulcerans
856	Fusobacterium varium
1739543	Fusobacterium sp. HMSC064B11
1739279	Fusobacterium sp. HMSC064B12
671211	Fusobacterium sp. oral taxon 203
712288	Fusobacterium sp. oral taxon 370
40542	Leptotrichia buccalis
157688	Leptotrichia hofstadii
157691	Leptotrichia shahii
109328	Leptotrichia trevisanii
157687	Leptotrichia wadei
712357	Leptotrichia sp. oral taxon 212
712359	Leptotrichia sp. oral taxon 215
671213	Leptotrichia sp. oral taxon 225
712368	Leptotrichia sp. oral taxon 498
1785996	Leptotrichia sp. oral taxon 847
1227267	Leptotrichia sp. oral taxon 879
1769291	Oceanivirga salmonicida
157692	Pseudoleptotrichia goodfellowii
826	Sebaldella termitidis
187101	Sneathia amnii
1384509	Streptobacillus felis
1162717	Streptobacillus hongkongensis
