SampleID	Classified	Unclassified
CMC012.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1456667	1440250
CMC012.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1456667	1440250
CMC013.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2059717	2186101
CMC013.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2059717	2186101
CMC013.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2059717	2186101
CMC013.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2004448	1565920
CMC013.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2004448	1565920
CMC013.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2004448	1565920
CMC014.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1630475	1416202
CMC014.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1630475	1416202
CMC014.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1630475	1416202
CMC015.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1445798	1738050
CMC015.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1445798	1738050
CMC015.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1445798	1738050
CMC015.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1935483	1954750
CMC015.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1935483	1954750
CMC015.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1935483	1954750
CMC016.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1864291	2255592
CMC016.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1864291	2255592
CMC016.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1864291	2255592
CMC016.A0102.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1786981	2194975
CMC016.A0102.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1786981	2194975
CMC016.A0102.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1786981	2194975
CMC017.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1612186	2797657
CMC017.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1612186	2797657
CMC017.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1612186	2797657
CMC017.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1556072	2093638
CMC017.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1556072	2093638
CMC017.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1556072	2093638
CMC018.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1765596	2136097
CMC018.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1765596	2136097
CMC018.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1765596	2136097
CMC018.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1437915	2309105
CMC018.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1437915	2309105
CMC018.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1437915	2309105
CMC020.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1534862	2553523
CMC020.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1534862	2553523
CMC020.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1534862	2553523
CMC020.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1760881	1994934
CMC020.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1760881	1994934
CMC020.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1760881	1994934
CMC021.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1640133	2037546
CMC021.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1640133	2037546
CMC021.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1640133	2037546
CMC021.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1825213	2116739
CMC021.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1825213	2116739
CMC021.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1825213	2116739
CMC022.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1811709	2089049
CMC022.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1811709	2089049
CMC022.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1811709	2089049
CMC022.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1502752	2728054
CMC022.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1502752	2728054
CMC022.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1502752	2728054
CMC023.A0301.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1476529	2419912
CMC023.A0301.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1476529	2419912
CMC023.A0301.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1476529	2419912
CMC023.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1887693	1881161
CMC023.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1887693	1881161
CMC023.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1887693	1881161
CMC024.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1920694	2349016
CMC024.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1920694	2349016
CMC024.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1920694	2349016
CMC024.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1317995	1941876
CMC024.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1317995	1941876
CMC024.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1317995	1941876
CMC025.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1512929	2296729
CMC025.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1512929	2296729
CMC025.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1512929	2296729
CMC026.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1516657	2479553
CMC026.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1516657	2479553
CMC026.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1516657	2479553
CMC026.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2001323	1891124
CMC026.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2001323	1891124
CMC026.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2001323	1891124
CMC027.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	808387	1592389
CMC027.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	808387	1592389
CMC027.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	808387	1592389
CMC027.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1782417	2241971
CMC027.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1782417	2241971
CMC027.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1782417	2241971
CMC028.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1849076	2401017
CMC028.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1849076	2401017
