Species	CMC001.A0101	CMC001.A0201	CMC001.B0201	CMC002.A0201	CMC002.B0201	CMC003.A0201	CMC003.B0101	CMC004.A0101	CMC004.B0201	CMC005.A0202	CMC005.B0101	CMC006.A0101	CMC006.B0201	CMC007.B0101	CMC008.A0101	CMC008.B0201	CMC009.A0202	CMC009.B0101	CMC010.A0101	CMC010.B0201	CMC011.A0201	CMC011.B0101	CMC012.A0201	CMC012.B0201	CMC013.A0201	CMC013.B0101	CMC014.A0101	CMC015.A0201	CMC015.B0201	CMC016.A0101	CMC016.B0101	CMC017.A0201	CMC017.B0201	CMC018.A0101	CMC018.B0101	CMC020.A0101	CMC020.B0101	CMC021.A0201	CMC021.B0201	CMC022.A0101	CMC022.B0101	CMC023.A0301	CMC023.B0201	CMC024.A0101	CMC024.B0101	CMC025.A0201	CMC025.B0201	CMC026.A0101	CMC026.B0101	CMC027.A0201	CMC027.B0201	CMC028.A0101	CMC028.B0101	CMC029.A0201	CMC029.B0201	CMC030.A0101	CMC030.B0101	CMC031.A0201	CMC031.B0201	CMC032.A0101	CMC032.B0101	CMC033.A0201	CMC033.B0201	CMC034.A0101	CMC034.B0101	CMC035.A0201	CMC035.B0201	CMC036.A0101	CMC036.B0101	CMC037.A0201	CMC037.B0201	CMC038.A0101	CMC038.B0101	CMC039.B0201	CMC040.B0101	CMC041.A0201	CMC042.A0201	CMC042.B0101	CMC043.A0101	CMC043.B0101	CMC044.A0201	CMC045.A0201	CMC045.B0201	CMC046.B0201	CMC047.A0201	ERR1474564	ERR1474565	ERR1474566	ERR1474567	ERR1474568	ERR1474569	ERR1474570	ERR1474571	ERR1474572	ERR1474573	ERR1474574	ERR1474575	ERR1474576	ERR1474577	ERR1474578	ERR1474579	ERR1474580	ERR1474581	ERR1474582	ERR1474583	ERR1474584	ERR1474585	ERR1474586	ERR1474587	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE016.A0101	SRS011247	SRS011310	SRS013506	SRS013942	SRS013945	SRS014468	SRS014692	SRS015055	SRS015436	SRS015799	SRS018359	SRS019120	SRS019124	SRS019587	SRS024281	SRS043239	SRS052874	SRS056892	SRS058105	JAE014.A0101	JAE015.A0101	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101	VLC008.A0101	VLC009.A0101	VLC010.A0101	SRR061192	SRR061294	SRR061320	SRR061365	SRR061562	SRR062083	SRR062298	SRR062299	SRR063517	SRR512767	SRR513165	SRR513768	SRR513775	SRR513828	SRR514202	SRR514239	SRR514306	SRR514329	SRR1804664	SRR1804823
Treponema sp. OMZ 838	7133	8761	16427	18558	0	10281	0	6993	29185	0	0	5091	1244	31700	4823	3449	3425	0	21123	0	22092	9774	4680	861	5743	0	0	5681	0	2557	11330	1833	14950	30480	43768	25525	8255	42818	18509	1625	7936	38293	4528	10230	6053	62361	10504	5290	1341	50246	18959	16807	0	18836	0	5674	2326	0	0	0	0	7729	13025	6104	3984	21316	1780	43304	1736	15611	0	35558	18743	1320	21186	5034	9524	1774	0	0	0	8350	14265	9861	0	3936	8864	46593	12754	35926	16584	0	15611	4799	3324	3844	12216	2912	11313	3926	25441	30073	8104	16825	29591	18742	13555	14961	36281	0	21169	13126	26950	0	11373	0	125279	0	0	0	969	0	986	2562	1675	0	0	0	2901	0	0	0	19776	0	0	0	29346	51460	20424	1782	0	78467	12654	17033	0	2237	53316	26004	81486	0	2988	0	64472	52341	0	0	70164	0	48234	5064	0	105528	0	17866	0	0
Aminobacterium colombiense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminomonas paucivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7405	8074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jonquetella anthropi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10847	0	0	0	0	8855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermanaerovibrio acidaminovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum sp. oral taxon 183	0	0	10671	0	0	0	224063	31485	149322	0	351558	0	446070	440998	933	0	16799	187809	1945	15674	3911	108263	527156	269409	61144	478437	2013	1362	279360	7607	2680	0	70941	8835	23681	43352	174903	25923	111268	0	0	0	279160	0	13496	0	63031	4303	2276902	0	42395	0	0	0	49662	0	0	0	148255	0	1	117380	392486	0	1397	0	1899	0	419751	0	4857	0	0	96946	152639	3954	0	16338	21590	21576	304795	0	71354	701943	0	0	0	0	0	5422	0	0	1590	0	0	0	0	0	0	0	0	0	0	1367	1074	0	0	0	0	0	0	0	0	0	0	0	9859	0	8238	0	1521	0	109	0	441	0	0	1271	4525	2538	3070	0	15103	0	0	0	0	0	0	0	0	0	11230	0	0	71853	360164	312833	107288	10640	2299232	211308	6694	312457	104615	4976111	259798	16349	277674	458724	3099	916798	462428	0	434928	39169
Actinomyces bouchesdurhonensis	0	0	0	1776	0	975	0	0	0	0	0	2268	0	0	0	9444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3321	0	0	3341	0	0	0	0	0	7429	2167	0	0	2220	0	0	0	0	0	0	0	2485	0	0	0	3583	0	0	0	0	0	0	921	0	2338	0	1588	0	0	0	0	1254	0	0	0	0	2228	0	0	0	0	0	0	0	3850	9267	2785	21939	102755	29442	173445	2966	628	343	423	16076	488	7726	1969	1610	123644	2107	18247	17939	7030	35878	49895	45633	0	0	0	0	8178	12868	10584	0	0	0	1756	422	0	1250	7103	19256	1735	0	0	597	0	0	0	6469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	0	0	0	1545	0	0	0	0	0	0	2381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces dentalis	372911	415421	381672	1024808	22559	67577	188914	44786	401012	96140	508390	4693	93603	360731	98057	120155	59659	199738	223453	870260	219459	210596	357184	165309	386981	228899	1565555	194421	763404	72544	597061	114650	450289	126791	448548	214073	569974	246471	695231	85651	619724	89670	989801	67916	447399	621202	468518	137990	719932	187754	632948	84953	148169	91276	514820	32501	523406	18542	1253549	21206	0	73103	414077	11568	616813	57514	958352	21468	527626	97048	1438823	64354	161333	458667	80974	212566	56068	742622	1461754	1559051	175519	22125	410621	12568	27537	1248	0	0	1530	14091	1148	6860	0	451	0	0	0	0	0	0	0	0	1864	3004	18637	3256	0	0	0	20850	0	2139484	2965390	1334920	357986	77669	7565173	0	0	0	0	0	0	0	2093	0	0	0	0	0	0	0	26907	0	0	0	4802010	6120228	1008252	336360	158956	1537021	945852	1235670	2519821	1951431	150261	40672	74835	0	169055	15402	92888	24168	4683	129783	26135	32619	193681	40878	28867	65295	402202	15825	227555	5505
Actinomyces denticolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	1100	0	0	0	0	0	1645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2087	0	0	0	0	0	0	0
