Species	CMC001.A0101	CMC001.A0201	CMC001.B0201	CMC002.A0201	CMC002.B0201	CMC003.A0201	CMC003.B0101	CMC004.A0101	CMC004.B0201	CMC005.A0202	CMC005.B0101	CMC006.A0101	CMC006.B0201	CMC007.B0101	CMC008.A0101	CMC008.B0201	CMC009.A0202	CMC009.B0101	CMC010.A0101	CMC010.B0201	CMC011.A0201	CMC011.B0101	CMC012.A0201	CMC012.B0201	CMC013.A0201	CMC013.B0101	CMC014.A0101	CMC015.A0201	CMC015.B0201	CMC016.A0101	CMC016.B0101	CMC017.A0201	CMC017.B0201	CMC018.A0101	CMC018.B0101	CMC020.A0101	CMC020.B0101	CMC021.A0201	CMC021.B0201	CMC022.A0101	CMC022.B0101	CMC023.A0301	CMC023.B0201	CMC024.A0101	CMC024.B0101	CMC025.A0201	CMC025.B0201	CMC026.A0101	CMC026.B0101	CMC027.A0201	CMC027.B0201	CMC028.A0101	CMC028.B0101	CMC029.A0201	CMC029.B0201	CMC030.A0101	CMC030.B0101	CMC031.A0201	CMC031.B0201	CMC032.A0101	CMC032.B0101	CMC033.A0201	CMC033.B0201	CMC034.A0101	CMC034.B0101	CMC035.A0201	CMC035.B0201	CMC036.A0101	CMC036.B0101	CMC037.A0201	CMC037.B0201	CMC038.A0101	CMC038.B0101	CMC039.B0201	CMC040.B0101	CMC041.A0201	CMC042.A0201	CMC042.B0101	CMC043.A0101	CMC043.B0101	CMC044.A0201	CMC045.A0201	CMC045.B0201	CMC046.B0201	CMC047.A0201	ERR1474564	ERR1474565	ERR1474566	ERR1474567	ERR1474568	ERR1474569	ERR1474570	ERR1474571	ERR1474572	ERR1474573	ERR1474574	ERR1474575	ERR1474576	ERR1474577	ERR1474578	ERR1474579	ERR1474580	ERR1474581	ERR1474582	ERR1474583	ERR1474584	ERR1474585	ERR1474586	ERR1474587	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE016.A0101	SRS011247	SRS011310	SRS013506	SRS013942	SRS013945	SRS014468	SRS014692	SRS015055	SRS015436	SRS015799	SRS018359	SRS019120	SRS019124	SRS019587	SRS024281	SRS043239	SRS052874	SRS056892	SRS058105	JAE014.A0101	JAE015.A0101	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101	VLC008.A0101	VLC009.A0101	VLC010.A0101	SRR061192	SRR061294	SRR061320	SRR061365	SRR061562	SRR062083	SRR062298	SRR062299	SRR063517	SRR512767	SRR513165	SRR513768	SRR513775	SRR513828	SRR514202	SRR514239	SRR514306	SRR514329	SRR1804664	SRR1804823
Candidatus Gracilibacteria bacterium HOT-871	0	0	0	0	0	0	0	4871	2008	3485	0	0	0	0	0	0	0	0	1661	0	0	0	3071	0	1751	0	0	5342	0	868	0	1150	0	5491	0	1378	0	2379	0	0	0	2480	0	0	0	0	0	1555	0	577	0	0	0	0	0	0	0	0	5480	0	0	0	0	0	0	0	0	0	0	924	0	0	0	0	0	2291	0	0	0	0	0	2361	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15713	0	0	0	0	8082	0	0	23234	0	0	0	0	0	585	0	122	0	0	0	0	0	0	0	0	0	1604	0	0	0	0	0	0	1194	0	0	0	0	4219	1957	14442	0	38491	0	15372	0	1372	1097	0	0	7475	8198	0	0	0	7000	7926	0	0	0
Bacteroides caecimuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2206	0	0	1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4548	0	0	0	0	0	0	0	0	2095	0	7315	0	0	0	0	0	0	0	0	0	0	0	0	753	0	0	5813	0	0	0	0	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides graminisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides heparinolyticus	1302	1722	0	0	0	0	0	5390	0	0	0	0	0	0	0	0	0	0	0	0	2413	0	0	0	0	0	0	902	0	0	0	2017	968	0	5829	0	0	0	0	0	1460	2198	0	1547	1415	6023	0	0	0	981	0	2388	0	0	0	0	0	0	0	0	0	0	0	1896	0	2365	0	2339	0	917	0	79129	39364	0	0	0	0	0	0	0	0	0	0	0	0	0	1625	0	19672	0	23022	0	1321	0	0	0	0	0	11784	1590	7262	28750	0	12354	27830	0	0	0	17467	0	0	0	35628	0	0	0	16927	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	8402	6711	60367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides pyogenes	0	0	1939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3138	0	0	0	0	0	0	0	0	844	0	0	0	0	0	0	0	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6242	0	0	0	0	0	0	0	0
Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides xylanisolvens	0	0	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides zoogleoformans	1577	2170	0	3754	0	1891	0	8786	0	0	0	0	0	0	0	0	0	0	0	0	6934	2301	0	0	0	0	0	0	0	0	1620	0	1450	0	85366	0	0	0	0	0	10198	3761	0	0	2203	1472	0	1330	1525	1087	0	0	0	0	0	3424	0	0	0	0	0	0	0	0	0	2468	1606	0	0	0	0	4738	3236	0	0	1213	0	0	0	0	0	0	0	0	0	0	0	0	1675	0	1147	0	0	1409	1320	244	0	0	1052	0	0	0	0	0	2655	0	0	0	0	0	0	0	9484	0	0	0	39938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17167	10550	4995	1187	2819	0	0	0	2941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola abscessus	72731	104434	2455	63681	0	1959	0	6549	12945	0	1632	13902	0	0	0	3717	0	0	11754	6196	5946	29691	19070	2473	4617	0	0	10468	0	0	74082	28975	13875	0	84345	27368	0	8919	1582	0	148041	11762	3094	20984	19491	17376	8228	13255	75127	17979	7313	3466	14227	887	0	29829	72852	0	0	1089	0	2525	2436	13427	9425	27502	99775	2360	0	7699	0	8629	77695	3744	0	8415	0	9833	0	0	0	0	1158	0	0	1431	0	5348	3454	0	1997	0	1207	1164	979	1389	0	504	846	1372	1618	6279	463	3269	13848	2181	0	0	18889	93873	23999	214330	406859	392698	186138	75121	1535437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2124993	2759269	804419	163709	230236	302577	314633	230083	46252	0	0	0	0	0	0	0	0	0	0	0	8381	0	0	0	0	0	0	0	0	0
Phocaeicola vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																														
Odoribacter splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas cangingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas catoniae	10720	13808	2311	0	0	13365	5208	15392	11298	20626	0	26426	0	1369	5959	31734	6514	5340	7340	0	4581	3455	1897	816	11361	0	0	6057	0	863	0	8018	6506	25170	2376	14397	0	6695	0	51223	2590	9235	0	8578	2794	0	0	1720	0	7640	9508	6587	2614	3404	2380	9007	0	41301	0	0	0	16157	1547	4549	0	51892	9641	19406	0	19935	0	2329	3301	4432	118556	20699	11557	0	0	0	0	25777	25026	5633	0	2359	22215	4977	6155	0	1986	4843	13663	492	221	1559	4760	3288	0	826	3740	5634	850	2509	0	1931	7174	0	7596	60086	24310	101525	158777	72610	96501	47302	117874	4594	3959	0	9070	0	688	11183	916	5763	1823	1871	30317	3904	0	4239	51440	0	2010	0	84538	0	24963	35916	116850	46744	49619	31135	139696	4425	78194	27078	81336	12131	370006	66254	74926	25722	3176	34239	127296	475790	33676	290056	0	206730	118623	187317	75269	2821
Porphyromonas circumdentaria	0	0	0	940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2712	0	0	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1357	989	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	1225	0	0	0	0	0	0	0	0	0
Porphyromonas crevioricanis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas gingivalis	20674	27969	55048	16338	6477	38785	3314	15664	6510	2392	2301	3451	0	0	1361	2548	0	0	187610	2542	113583	40095	3003	9452	5946	0	0	106617	2442	1077	10507	5420	11863	6067	617439	34695	3411	312880	13155	2391	46723	505480	2550	190618	29026	520731	16737	22323	2496	552567	14379	46149	7841	106538	2928	52892	1547	887	0	1716	0	42087	4940	27670	2239	344585	34259	105136	8921	77279	0	264394	343861	1537	3657	10003	152902	4784	1668	1567	5339	17156	12601	0	0	45603	34207	84510	130313	238251	247228	0	132818	53089	58019	46443	50556	22416	39088	184077	152259	162891	71643	149782	217776	203421	92550	92250	127112	12618	13810	18702	635978	137883	28120	4275	1086600	0	1414	2693	1433	0	244	1545	490	1538	0	0	2563	3421	0	0	1688	0	0	0	261294	404374	816359	7406	2451	35394	71050	68053	9194	0	2192	3317	2931	0	2905	0	8432	3176	0	0	6118	2396	4173	0	0	6191	6073	2566	0	0
Porphyromonas gulae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3236	0	0	1282	0	0	0	1734	0	918	0	2332	0	0	0	2669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1267	0	0	0	0	0	2392	1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178	0	1231	456	310	463	0	0	0	413	1350	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas loveana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas macacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas uenonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. KLE 1280	1600	1870	30481	0	0	45677	54512	18140	1974	16032	0	15458	2550	6102	0	11665	25121	3525	6730	2369	14406	9579	0	816	13283	0	0	5808	0	6839	6081	89811	12017	8238	4069	16121	0	3992	0	8017	9373	3803	0	8444	5698	0	0	5177	0	0	4815	21461	4852	866	1783	9002	0	1232	0	775	0	100118	6679	1121	4643	19390	4218	11758	83554	5927	0	42107	12886	15359	51262	2541	88714	2351	1324	0	943	8358	22454	0	2302	74146	310434	135215	67752	146718	37446	210392	230578	3742	0	4594	13088	10240	1594	7258	39733	86392	3938	5390	6615	38195	194633	34361	233849	0	0	67766	9521	63876	101557	46888	0	99395	103910	4144	76676	46602	7682	24396	8974	65781	20008	34353	72232	52867	18940	50732	51967	35141	34059	17353	4565	0	0	3972	41490	6255	3377	0	5043	0	39228	89351	2713	16737	742406	20092	126021	3719	82187	23061	25397	0	268607	138234	0	17252	108605	83192	2454	0
Porphyromonas sp. oral taxon 278	3754	3505	43250	14397	1284	97602	145104	16731	23855	26631	0	6317	1674	8307	3222	26251	14762	8383	22817	10609	98173	164498	3093	6927	3581	0	0	3171	0	14541	27597	11981	39648	66470	105384	30711	21068	14700	3931	11679	249024	40143	0	9371	44872	3127	0	19832	0	4420	76495	15566	426352	31303	26278	18282	0	0	0	0	0	23465	7440	8671	10342	7206	2447	22994	4684	932	0	61223	178842	50417	477751	3489	19340	14792	0	0	7989	6942	109147	16244	0	30939	90850	40191	19351	0	24506	3811	43265	3032	0	3522	52141	7291	1377	1448	130254	23972	1855	17946	2357	93926	10489	0	78403	0	6444	42023	10521	18280	25398	7712	0	1801	4519	0	4090	0	4664	4100	772	4129	0	1760	9917	8573	0	0	23441	2425	4454	0	4386	7222	0	6119	9707	8624	0	0	6586	2009	14214	1544	2572	0	502200	0	33668	3076	12912	0	16293	2618	9225	337934	0	101969	4970	134489	0	20898
Alloprevotella rava	1308	1383	2846	10939	603	1497	0	0	4934	0	1397	4275	0	0	0	0	0	0	1405	0	14864	0	6894	1498	12193	0	2604	0	0	827	8503	8867	3064	1191	1249	8662	3044	4480	3192	0	0	4110	1753	0	2045	0	1439	0	0	766	0	1043	0	1061	0	0	0	0	0	0	0	0	1689	0	2268	3480	0	1276	0	1184	0	2467	1165	0	9963	1140	3376	0	0	0	1699	0	5101	0	0	1155	7231	3252	35023	0	13019	71681	7935	4517	2010	1186	12912	5137	69320	7207	23545	39983	18723	25557	32934	47107	0	38801	84192	0	0	0	0	0	0	0	0	0	0	0	2789	0	3535	8433	38194	0	0	2635	3255	0	0	0	3417	0	0	0	0	0	0	0	0	7835	0	0	0	0	0	10050	0	0	0	0	12529	14082	0	0	4709	0	2399	0	0	0	0	0	0	0
Alloprevotella tannerae	2792	2951	12127	26705	1199	1487	0	0	92370	2246	3159	9232	3709	1667	0	0	11692	20627	19831	3320	52338	4700	30514	15920	55744	0	7538	0	0	5535	47380	7181	3938	956	9614	229852	26874	6407	30233	0	8511	6460	37932	3698	13625	18953	17945	0	0	547	52452	1460	0	0	3954	0	0	0	0	0	2	0	10266	2643	47375	3703	0	1705	7602	1240	0	1824	1410	2571	62107	2215	13015	10366	3882	3898	18662	0	70491	0	0	4424	35869	46102	122079	13374	14479	4941	33865	18054	4453	6072	105707	5878	28921	7418	47150	121906	24766	34324	128560	171518	18286	30553	177054	0	0	31231	0	0	9620	0	23821	0	0	2364	20668	0	1728	32644	1706	3332	0	6668	56971	0	0	0	14033	0	0	0	4329	4796	146805	1266	0	175469	0	7988	0	0	2364	251695	0	0	3734	0	245834	305951	0	0	54333	0	144896	0	0	0	0	127482	0	0
Prevotella sp. oral taxon 473	4263	3361	0	30108	1425	6203	16715	3819	0	2086	0	8527	0	0	0	1617	0	0	11235	0	94176	6007	0	0	0	0	0	0	0	3257	0	7349	20618	1432	22982	12179	0	0	0	0	17462	6342	0	2300	4887	8398	0	0	0	755	0	9699	5723	1293	0	1419	0	0	0	0	0	1590	0	0	0	16340	2010	15138	0	3795	0	9389	17194	3259	79201	13090	26053	0	0	0	0	0	3777	0	0	19885	50642	75857	20923	7896	37861	3654	75185	16350	2660	3126	25125	15287	8649	4816	27501	25315	11254	41839	2862	118029	8612	9151	52372	0	0	0	14540	0	0	0	0	2614	5004	253922	19345	4431	1356	10334	5436	4473	3247	2977	31641	132707	0	12345	5433	8517	14226	0	0	0	20826	0	0	9148	0	0	0	0	1813	0	0	0	6627	0	80990	18708	48824	0	8498	0	0	11434	0	0	0	7065	0	5436
Paraprevotella clara	0	0	0	0	0	0	0	0	0	1217	0	1635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	0	0	0	0	0	0	0	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2177	0	0	0	0	0	0	0	0	0	0	0	1524	0	0	1039	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	18557	7898	0	0	0	0	5270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5087	0	4124	0	0	0	2347	1221	0	0	0	0	1320	0	0	0	2178	0	0	6455	0	0	0	0	0	2611
Hallella seregens	886	1124	0	2518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3767	1770	0	0	1993	0	0	0	0	0	8929	881	0	0	4161	0	0	0	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3364	3135	0	0	0	0	0	1822	1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18821	0	439	228	212	0	0	0	0	0	0	0	1431	3229	1860	0	0	0	0	0	0	0	0	0	0	10949	0	0	0	566	0	0	0	348	0	0	0	532	0	0	0	0	0	0	0																														
Prevotella amnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1566	0	967	0	2060	0	0	0	0	545	0	0	0	0	0	1192	1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1591	0	0	0	0	1298	0	0	0	1332	0	2662	12664	2343	6323	0	827	365	0	6279	462	3200	686	6044	7808	488	1589	2457	4007	0	27995	5674	0	0	0	0	0	7292	0	0	0	0	0	0	0	164	1720	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1652	605	0	0	1364	0	0	0	0	0	0	0	0	0
