CMC001.A0101	2205972	9288839	8168
CMC001.A0201	2587976	11804389	8219
CMC001.B0201	3628976	10021142	9148
CMC002.A0201	2453000	9136684	4096
CMC002.B0201	2196368	4576671	5833
CMC003.A0201	2566189	8528385	10675
CMC003.B0101	4319146	11673179	16984
CMC004.A0101	2560424	11931801	6543
CMC004.B0201	3212876	11540108	7472
CMC005.A0202	3117662	9754038	3861
CMC005.B0101	4683709	9896816	17282
CMC006.A0101	4711888	11572786	27007
CMC006.B0201	3461789	9486199	14789
CMC007.B0101	3361030	8193912	5296
CMC008.A0101	2661032	8107152	4013
CMC008.B0201	3101571	9752823	5031
CMC009.A0202	3582054	7953094	12367
CMC009.B0101	3848335	10098885	7049
CMC010.A0101	2899562	10579331	4985
CMC010.B0201	3789056	9879015	3936
CMC011.A0201	2693575	11250159	5192
CMC011.B0101	3228788	12020742	6211
CMC012.A0201	2940365	8587970	5154
CMC012.B0201	2900831	7636797	5993
CMC013.A0201	4175387	11968484	11717
CMC013.B0101	5374447	11431355	13180
CMC014.A0101	3931192	9349102	2494
CMC015.A0201	2824739	9205360	3367
CMC015.B0201	4222723	11527092	12017
CMC016.A0101	1236178	3776969	4127
CMC016.B0101	3488562	11559529	10436
CMC017.A0201	1432380	6941841	3497
CMC017.B0201	2959938	10834838	8721
CMC018.A0101	2772709	9052899	6529
CMC018.B0101	2869235	11820845	2472
CMC020.A0101	3088827	9608303	5820
CMC020.B0101	3765548	11753970	10971
CMC021.A0201	2553834	8268726	5484
CMC021.B0201	2934782	9507087	5021
CMC022.A0101	4994114	15870953	6715
CMC022.B0101	2812935	13781314	2605
CMC023.A0301	2416648	10346768	2993
CMC023.B0201	4079129	11238958	7376
CMC024.A0101	2442946	11119746	3483
CMC024.B0101	2730912	11379310	7597
CMC025.A0201	2628538	10103100	6017
CMC025.B0201	4693080	13826549	14977
CMC026.A0101	3082104	10189026	6477
CMC026.B0101	4545472	11656230	8413
CMC027.A0201	1537850	7520728	1959
CMC027.B0201	3540026	12174918	5965
CMC028.A0101	2549097	11180768	7487
CMC028.B0101	3548875	12451668	2992
CMC029.A0201	1778041	6493086	4299
CMC029.B0201	4223896	11225143	9701
CMC030.A0101	3139163	11006955	13931
CMC030.B0101	3196607	11289216	4211
CMC031.A0201	3126018	7673604	7134
CMC031.B0201	4752321	10607142	6766
CMC032.A0101	898452	2542287	2756
CMC032.B0101	228	403	1
CMC033.A0201	4093211	10529570	13826
CMC033.B0201	3445472	9656811	4289
CMC034.A0101	2171745	7398978	15063
CMC034.B0101	4016938	9905341	9791
CMC035.A0201	3467095	11515814	6061
CMC035.B0201	4191989	11951022	10114
CMC036.A0101	3202010	10195068	17263
CMC036.B0101	4727151	10600501	5799
CMC037.A0201	2409946	8355164	5402
CMC037.B0201	5867147	10228154	4202
CMC038.A0101	2450468	10856860	12917
CMC038.B0101	1948422	10372294	2742
CMC039.B0201	4098032	10553614	10660
CMC040.B0101	4486128	14139608	8613
CMC041.A0201	2689722	10610740	6601
CMC042.A0201	3839591	9794307	41806
CMC042.B0101	3813673	11210497	3868
CMC043.A0101	4721751	10511248	7772
CMC043.B0101	4840012	10234928	8015
CMC044.A0201	2993166	7650190	5629
CMC045.A0201	2211820	8652603	3610
CMC045.B0201	3400101	10887117	7764
CMC046.B0201	3237169	8777733	2525
CMC047.A0201	5374663	8307254	4307
ERR1474564	2473059	8526420	16914
ERR1474565	2895229	15434068	6883
ERR1474566	3151800	15449949	19758
ERR1474567	1804484	11010340	5330
ERR1474568	15035133	47720702	17179
ERR1474569	2130633	10362521	7894
ERR1474570	11272959	31894446	11589
ERR1474571	3160147	12302114	11230
ERR1474572	684178	2693460	2438
ERR1474573	506638	2024929	1511
ERR1474574	547400	2227893	1435
ERR1474575	3950048	15246845	11049
ERR1474576	927435	3403768	1442
ERR1474577	2438672	8032197	351
ERR1474578	1128354	4159038	2216
ERR1474579	3384277	11900324	2601
ERR1474580	11140246	62584345	21682
ERR1474581	758169	3720062	3452
ERR1474582	2030249	11157957	7384
ERR1474583	2177274	12696037	3614
ERR1474584	2690881	11446141	11016
ERR1474585	13015528	44979135	6245
ERR1474586	12424808	50164801	4553
ERR1474587	8398415	34956466	7380
EXB059.A0901	306200	703605	2283
EXB059.A1001	53948	301169	265
EXB059.A1101	1798680	3818123	2244
EXB059.A1201	150489	507372	969
EXB059.A1301	603826	1132384	719
EXB059.A1401	147006	612348	1122
EXB059.A1501	37877	216061	119
EXB059.A1601	15	96	0
EXB059.A1701	57231	287187	235
EXB059.A1801	365111	933924	2722
EXB059.A1901	318648	615319	653
EXB059.A2001	188587	496809	2026
JAE006.A0101	12530462	75109761	57922
JAE007.A0101	10166424	56045385	66191
JAE008.A0101	6978055	58108506	29046
JAE009.A0101	6838794	59066020	21436
JAE010.A0101	7076441	52798472	22683
JAE012.A0101	7754035	54832522	6865
JAE013.A0101	5267903	33544607	46439
JAE014.A0101	5919309	62515968	8068
JAE015.A0101	5653108	51699395	5601
JAE016.A0101	8232368	86131188	6528
