Species
Pelagibacterium luteolum
Pelomonas sp. Root1217
Pelomonas sp. Root1237
Pelomonas sp. Root1444
Pelomonas sp. Root662
Phocaeicola plebeius
Phocaeicola salanitronis
Phreatobacter cathodiphilus
Phyllobacterium myrsinacearum
Planktothrix tepida
Plantactinospora sp. BB1
Plantactinospora sp. BC1
Prevotella copri
Prevotellaceae bacterium Marseille-P2826
Propionibacterium acidifaciens
Propionibacterium sp. KPL1844
Pseudomonas aeruginosa
Pseudomonas alcaliphila
Pseudomonas amygdali
Pseudomonas antarctica
Pseudomonas azotoformans
Pseudomonas canadensis
Pseudomonas cedrina
Pseudomonas extremaustralis
Pseudomonas fluorescens
Pseudomonas fragi
Pseudomonas gingeri
Pseudomonas indoloxydans
Pseudomonas lundensis
Pseudomonas marginalis
Pseudomonas oleovorans
Pseudomonas orientalis
Pseudomonas palleroniana
Pseudomonas poae
Pseudomonas salomonii
Pseudomonas sp. 24 E 13
Pseudomonas sp. 58 R 3
Pseudomonas sp. CF150
Pseudomonas sp. FDAARGOS_380
Pseudomonas sp. ICMP 8385
Pseudomonas sp. NC02
Pseudomonas sp. NS1(2017)
Pseudomonas sp. phDV1
Pseudomonas sp. R9.37
Pseudomonas sp. Root9
Pseudomonas sp. S09G 359
Pseudomonas sp. TKP
Pseudomonas sp. UW4
Pseudomonas stutzeri
Pseudomonas synxantha
Pseudomonas syringae
Pseudomonas tolaasii
Pseudomonas trivialis
Pseudomonas yamanorum
Pseudoxanthomonas sp. Root630
Pseudoxanthomonas sp. Root65
Psychrobacillus sp. FJAT-21963
Ralstonia insidiosa
Ralstonia pickettii
Ralstonia solanacearum
Ralstonia sp. 25mfcol4.1
Ralstonia sp. MD27
Ralstonia sp. UNCCL144
Rhizobiales bacterium
Rhizobium sp. Root149
Rhodococcus erythropolis
Rhodococcus phenolicus
Rhodococcus qingshengii
Rhodococcus sp. 008
Rhodococcus sp. 66b
Rhodococcus sp. YL-1
Rhodoferax saidenbachensis
Rhodoplanes elegans
Rhodoplanes piscinae
Rhodopseudomonas palustris
Rhodopseudomonas pseudopalustris
Rhodopseudomonas sp. B29
Rhodospirillales bacterium URHD0017
Rudaea cellulosilytica
Salmonella enterica
Scardovia wiggsiae
Serratia ficaria
Serratia fonticola
Serratia liquefaciens
Serratia marcescens
Serratia plymuthica
Serratia proteamaculans
Serratia sp. BW106
Serratia sp. S4
Shewanella decolorationis
Sinorhizobium meliloti
Sorangium cellulosum
Sphingobacterium siyangense
Sphingobacterium sp. B29
Sphingobacterium sp. G1-14
Sphingomonas echinoides
Sphingomonas koreensis
Sphingomonas sp. LK11
Sphingomonas sp. TDK1
Sporocytophaga myxococcoides
Staphylococcus epidermidis
Staphylococcus saprophyticus
Staphylococcus warneri
Stenotrophomonas maltophilia
Streptococcus sp. HMSC072D03
Streptococcus thermophilus
Streptomyces acidiscabies
Streptomyces albulus
Streptomyces albus
Streptomyces azureus
Streptomyces bottropensis
Streptomyces carpinensis
Streptomyces graminilatus
Streptomyces sp. AcH 505
Streptomyces sp. E5N91
Streptomyces sp. JV178
Streptomyces sp. NRRL F-6676
Streptomyces sp. SBT349
Streptomyces specialis
Streptomyces tateyamensis
Tardibacter chloracetimidivorans
Tardiphaga sp. OK245
Treponema phagedenis
Undibacterium pigrum
Variovorax paradoxus
Variovorax sp. HW608
Variovorax sp. WDL1
Veillonella sp. DNF00869
Vibrio campbellii
Vibrio fortis
Vibrio metoecus
Vibrio parahaemolyticus
Vibrio rotiferianus
Vibrio sp. S234-5
Vibrio vulnificus
Weissella viridescens
Xanthobacter autotrophicus
Xanthomonas campestris
Xanthomonas vasicola
Xenophilus azovorans
